RegionID,SizeRank,RegionName,RegionType,StateName,10/28/2017,11/4/2017,11/11/2017,11/18/2017,11/25/2017,12/2/2017,12/9/2017,12/16/2017,12/23/2017,12/30/2017,1/6/2018,1/13/2018,1/20/2018,1/27/2018,2/3/2018,2/10/2018,2/17/2018,2/24/2018,3/3/2018,3/10/2018,3/17/2018,3/24/2018,3/31/2018,4/7/2018,4/14/2018,4/21/2018,4/28/2018,5/5/2018,5/12/2018,5/19/2018,5/26/2018,6/2/2018,6/9/2018,6/16/2018,6/23/2018,6/30/2018,7/7/2018,7/14/2018,7/21/2018,7/28/2018,8/4/2018,8/11/2018,8/18/2018,8/25/2018,9/1/2018,9/8/2018,9/15/2018,9/22/2018,9/29/2018,10/6/2018,10/13/2018,10/20/2018,10/27/2018,11/3/2018,11/10/2018,11/17/2018,11/24/2018,12/1/2018,12/8/2018,12/15/2018,12/22/2018,12/29/2018,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,3/2/2019,3/9/2019,3/16/2019,3/23/2019,3/30/2019,4/6/2019,4/13/2019,4/20/2019,4/27/2019,5/4/2019,5/11/2019,5/18/2019,5/25/2019,6/1/2019,6/8/2019,6/15/2019,6/22/2019,6/29/2019,7/6/2019,7/13/2019,7/20/2019,7/27/2019,8/3/2019,8/10/2019,8/17/2019,8/24/2019,8/31/2019,9/7/2019,9/14/2019,9/21/2019,9/28/2019,10/5/2019,10/12/2019,10/19/2019,10/26/2019,11/2/2019,11/9/2019,11/16/2019,11/23/2019,11/30/2019,12/7/2019,12/14/2019,12/21/2019,12/28/2019,1/4/2020,1/11/2020,1/18/2020,1/25/2020,2/1/2020,2/8/2020,2/15/2020,2/22/2020,2/29/2020,3/7/2020,3/14/2020,3/21/2020,3/28/2020,4/4/2020,4/11/2020,4/18/2020,4/25/2020,5/2/2020,5/9/2020,5/16/2020,5/23/2020,5/30/2020,6/6/2020,6/13/2020,6/20/2020,6/27/2020,7/4/2020,7/11/2020,7/18/2020,7/25/2020,8/1/2020,8/8/2020,8/15/2020,8/22/2020,8/29/2020,9/5/2020,9/12/2020,9/19/2020,9/26/2020,10/3/2020
102001,0,United States,Country,,1313144,1306211,1295559,1282592,1264313,1245570,1222914,1195048,1173481,1140078,1114643,1096621,1081733,1082140,1085394,1090060,1096900,1102908,1112065,1117617,1135822,1151150,1160837,1182489,1194022,1212166,1232617,1250425,1264634,1278405,1291568,1297580,1309731,1320459,1333371,1349293,1355950,1368967,1379529,1389512,1402170,1403994,1404816,1404618,1403467,1399346,1399679,1400571,1401719,1408189,1406090,1403266,1399202,1392792,1384138,1373154,1351943,1333527,1307225,1277754,1251803,1210576,1181152,1160911,1151966,1153051,1162141,1163704,1166466,1172976,1176949,1184024,1189020,1196873,1203537,1218533,1233118,1246240,1260130,1273561,1284444,1298215,1309525,1312799,1323478,1332186,1348912,1370604,1380172,1390321,1393127,1390970,1395024,1394561,1390203,1386084,1378652,1370226,1368642,1368262,1368509,1372525,1367308,1359984,1351511,1339912,1325724,1308522,1288766,1258087,1232795,1204785,1173861,1140950,1109753,1084837,1064956,1064059,1062427,1061807,1063799,1061409,1061050,1063996,1069025,1075333,1077579,1075488,1067587,1058893,1052915,1045618,1048885,1053647,1055550,1055338,1051260,1042513,1033846,1025770,1011037,997108,985278,974204,964279,953389,941273,930423,920394,915373,906542,900360,893541,882454
394913,1,"New York, NY",Msa,NY,67063,66557,65763,64791,63528,62337,61023,59440,58058,56023,54440,53188,52424,52566,53048,54523,55758,56869,58513,59140,60515,61789,62518,63643,64403,65746,67144,68830,70348,71648,72625,73215,74118,74703,75453,76034,75880,76065,76084,76069,76342,76063,75605,75104,74396,73915,73937,74275,74911,75567,75713,75677,75446,74996,74329,73456,72079,70873,69275,67515,65823,63313,61486,60126,59553,59739,60442,61013,61653,62433,63204,64123,65027,66124,67169,68668,70351,71594,72785,73976,74931,76367,77542,78173,78943,79354,79928,80551,80461,80499,80269,79753,79592,78955,78161,77322,76179,75496,75527,75802,76333,76760,76409,75835,75203,74405,73478,72480,71258,69432,67791,65872,63711,61463,59309,57651,56515,56564,56843,57124,57505,57723,58503,59511,60716,61389,61599,60776,58945,57275,55228,54026,53763,53780,53882,54074,54606,55218,56122,57296,57997,58848,59579,60163,60547,60457,60445,60285,60329,60543,60632,60813,60902,61010
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,17787,17522,17177,16809,16334,15900,15406,14747,14272,13405,12769,12528,12478,12948,13438,13908,14286,14631,14981,15080,15540,15829,15972,16411,16558,16982,17483,17948,18336,18655,18975,19141,19472,19765,20125,20560,20696,20982,21278,21691,22147,22405,22618,22696,22756,22791,22922,23060,23293,23605,23738,23851,23907,23935,23946,23871,23514,23147,22621,21963,21333,20281,19400,18944,18892,19226,19751,19940,20156,20368,20486,20700,20814,20922,21001,21185,21375,21531,21753,22009,22255,22630,22848,22884,23000,23054,23273,23586,23626,23763,23852,23868,24011,23961,23801,23600,23261,22965,22854,22766,22766,22767,22566,22310,21999,21648,21214,20702,20172,19308,18560,17750,16878,16003,15039,14435,14065,14251,14544,14764,15011,15115,15269,15410,15486,15512,15306,15037,14774,14639,14714,14819,15194,15603,16104,16597,16940,17169,17300,17357,17268,17196,17154,17173,17224,17225,17197,17140,17079,17120,17105,17159,17231,17263
394463,3,"Chicago, IL",Msa,IL,38027,37590,36926,36131,35079,34048,33005,31850,30905,29617,28494,27787,27321,27378,27607,27864,28167,28514,29194,29789,30850,31718,32157,32847,33140,33690,34281,34797,35262,35698,36157,36497,36956,37467,38126,38782,39053,39478,39860,40182,40702,40888,40936,41007,40956,40843,40939,41021,41165,41385,41306,41130,40844,40453,39875,39213,38200,37142,35968,34680,33568,32096,30891,30132,29780,29798,29936,30024,30262,30709,31327,31999,32590,33291,33894,35015,35976,36747,37575,37942,38364,38952,39464,39710,40136,40498,41039,41751,42017,42317,42519,42610,42932,43116,43171,43201,43120,43007,43043,43085,43133,43161,42896,42496,42075,41591,40935,40150,39154,37829,36632,35435,34185,32875,31622,30730,30128,30164,30303,30573,30978,31327,31733,32140,32611,32933,32802,32233,31379,30627,30341,30229,30550,30921,31209,31469,31598,31712,31881,32027,31829,31665,31537,31432,31418,31315,31087,31004,30933,30905,30862,30845,30871,30759
394514,4,"Dallas-Fort Worth, TX",Msa,TX,21912,21836,21550,21306,20883,20400,19905,19217,18693,17840,17117,16694,16384,16549,16862,17067,17259,17344,17395,17375,17772,18187,18591,19488,19992,20699,21458,21904,22311,22657,22977,23246,23629,24020,24448,24954,25451,25967,26424,26817,27098,27166,27169,27078,26952,26782,26774,26682,26599,26743,26675,26630,26555,26346,26157,26096,25821,25549,25080,24457,23829,22839,22001,21468,21358,21526,22000,22236,22422,22752,22995,23345,23642,24015,24336,24826,25253,25586,26001,26350,26673,27068,27382,27558,27892,28238,29036,30003,30817,31553,31791,31899,32016,31976,31813,31523,31140,30811,30595,30431,30279,30261,30091,29941,29799,29558,29325,29031,28672,27991,27415,26715,25961,25137,24314,23653,23123,23189,23317,23503,23740,23828,23960,24178,24473,24726,24719,24499,24081,23741,23651,23650,24105,24586,25052,25429,25546,25451,25278,25166,24838,24554,24213,23841,23510,23106,22714,22296,21915,21631,21214,20849,20461,20023
394974,5,"Philadelphia, PA",Msa,PA,24252,24325,24645,24661,24469,23987,23074,22357,21616,20843,20204,19650,19289,19245,19336,19465,19648,19860,20151,20307,20657,20889,20988,21559,21935,22499,23178,23672,24029,24278,24317,24053,23942,23756,23684,23801,23550,23411,23310,23229,23424,23472,23449,23342,23162,23022,23022,23149,23304,23577,23656,23684,23771,23707,23650,23538,23137,22843,22387,21820,21333,20524,19875,19456,19248,19239,19372,19378,19367,19448,19557,19721,19875,20127,20337,20758,21295,21641,21934,22178,22231,22447,22617,22554,22836,22895,22997,23164,22880,22778,22673,22482,22880,22880,22720,22644,21999,21755,21780,21832,22004,22158,22149,22092,21942,21737,21441,21090,20747,20154,19688,19106,18432,17735,17025,16462,16066,16012,15926,15902,15889,15859,15935,16055,16281,16411,16194,15722,15119,14458,14076,13903,13867,14041,14387,14777,15128,15376,15450,15409,15195,14952,14733,14543,14419,14316,14124,13919,13758,13662,13631,13707,13773,13781
394692,6,"Houston, TX",Msa,TX,26912,26767,26572,26307,25972,25673,25331,24956,24708,24101,23605,23255,22874,22879,22930,22943,22994,23047,23155,23225,23794,24278,24732,25462,25779,26321,26868,27325,27748,28118,28452,28648,28957,29186,29370,29678,29839,30069,30385,30610,30843,30936,30936,30915,30795,30521,30309,30049,29824,29803,29689,29624,29547,29447,29273,29073,28711,28446,28121,27767,27510,26857,26356,26049,25991,26203,26587,26697,26980,27173,27237,27497,27508,27717,27966,28384,28681,28932,29217,29393,29636,29939,30152,30302,30570,30856,31754,32659,33486,34219,34315,34281,34270,34269,34146,34018,33796,33457,33252,33005,32735,32615,32314,32148,31947,31710,31508,31269,31056,30541,30203,29780,29341,28848,28355,27976,27549,27616,27702,27848,28110,28190,28287,28422,28578,28781,28883,28930,28880,28847,28896,28762,28880,28890,28823,28723,28468,28143,27747,27312,26838,26450,26151,25951,25707,25430,25135,24855,24485,24205,23813,23509,23173,22827
395209,7,"Washington, DC",Msa,DC,18228,18042,18498,19015,19647,20212,19735,19090,18258,17217,16405,15760,15356,15365,15553,15778,16081,16390,16842,17255,17965,18633,19095,19959,20456,21185,21950,22418,22642,22683,22630,21560,20786,19859,19040,19102,19053,19185,19324,19473,19588,19516,19371,19239,19126,19093,19223,19432,19616,19867,19929,19892,19870,19703,19483,19161,18523,17851,17067,16244,15515,14571,13769,13169,12797,12669,12691,12629,12632,12729,12856,13185,13543,13989,14374,14834,15392,15758,16182,16676,16969,17412,17706,17649,17827,17872,18013,18253,18122,18089,18045,17892,17837,17745,17479,17278,16998,16889,17011,17196,17510,17691,17678,17629,17511,17308,17030,16625,16160,15421,14763,14078,13333,12615,11949,11447,11101,11110,11146,11171,11243,11277,11382,11570,11848,12164,12393,12536,12528,12552,12572,12537,12644,12660,12577,12458,12296,12119,12003,11929,11737,11542,11435,11344,11266,11208,11087,10981,10917,10933,11030,11281,11431,11518
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,43283,43612,43929,44245,44398,44622,44843,44879,45249,45092,44960,45079,45267,45884,46539,47054,47465,47821,48128,48249,48840,49072,49161,49591,49327,49368,49440,49250,49077,48827,48381,47844,47455,47097,47002,47002,46778,46686,46619,46527,46540,46383,46152,46046,46008,45891,45942,46066,46248,46718,47044,47451,47822,48138,48474,48723,48762,48988,49079,49094,49261,48860,48586,48669,49104,49883,51027,51703,52237,52810,53010,53185,53299,53225,53015,52938,52623,52384,52155,51883,51555,51205,50831,50454,50155,49806,49551,49318,49022,48764,48421,48007,47882,47582,47280,46998,46431,45936,45741,45657,45703,46020,46069,46143,46297,46408,46596,46765,46862,46697,46725,46679,46545,46236,45834,45575,45461,45898,46339,46637,46940,47040,47059,47102,47067,46960,46643,46203,45531,44887,44384,43929,43818,43864,43868,43884,43958,43885,43715,43459,42962,42424,41921,41474,41069,40571,40163,39811,39513,39750,39704,39665,39643,39173
394347,9,"Atlanta, GA",Msa,GA,26986,26812,26448,26019,25431,24844,24326,23730,23347,22709,22244,21895,21480,21387,21293,21182,21119,21043,21075,21068,21458,21721,21873,22296,22472,22839,23206,23517,23718,23897,24075,24159,24359,24574,24868,25419,25936,26551,27023,27415,27643,27637,27724,27624,27568,27417,27407,27403,27436,27689,27676,27782,27810,27717,27611,27397,27011,26803,26457,26072,25819,25130,24655,24281,24110,24100,24279,24293,24345,24521,25495,25640,25768,26025,25488,26064,26563,27012,27321,27623,27752,27955,28146,28134,28339,28490,29126,29884,30481,31100,31250,31351,31531,31538,31506,31438,31322,31199,31181,31211,31211,31433,31402,31335,31327,31157,30955,30648,30224,29553,29125,28695,28239,27715,27156,26684,26232,26312,26443,26540,26633,26475,26249,26040,26040,26202,26398,26899,27242,27526,27771,27717,27769,28152,28134,28018,27921,27266,26881,26531,25964,25452,24999,24495,24148,23800,23416,23098,22757,22472,22107,21813,21476,21126
