id,neighbourhood,latitude,longitude,room_type,price,availability_365,minimum_nights
2265,78702,30.2775,-97.71398,Entire home/apt,177,136,7
5245,78702,30.27577,-97.71379,Private room,114,0,30
5456,78702,30.261120000000002,-97.73448,Entire home/apt,99,359,2
5636,78704,30.2463,-97.76361,Entire home/apt,46,63,30
5769,78729,30.456970000000002,-97.78421999999999,Private room,39,46,1
6413,78704,30.24829,-97.73725999999999,Entire home/apt,99,31,30
6448,78704,30.260270000000002,-97.76503000000001,Entire home/apt,139,162,3
14913,78748,30.15645,-97.82411,Entire home/apt,300,260,1
21126,78704,30.24417,-97.73988,Entire home/apt,176,115,1
21145,78705,30.294220000000003,-97.74618000000001,Entire home/apt,220,170,30
22166,78759,30.389570000000003,-97.76216,Entire home/apt,150,357,30
22828,78741,30.236140000000002,-97.73225,Entire home/apt,50,316,31
22982,78703,30.28027,-97.75596,Entire home/apt,125,4,2
25028,78757,30.337659999999996,-97.73725999999999,Entire home/apt,117,245,7
32396,78749,30.20273,-97.84439,Entire home/apt,55,260,1
37324,78727,30.4303,-97.69125,Private room,38,260,30
39993,78703,30.299229999999998,-97.77789,Entire home/apt,59,0,2
40285,78731,30.351409999999998,-97.76323000000001,Entire home/apt,350,337,2
46929,78703,30.299229999999998,-97.77789,Entire home/apt,109,1,2
47572,78758,30.376409999999996,-97.70926,Private room,34,347,30
50318,78705,30.28625,-97.75022,Entire home/apt,117,294,30
56690,78704,30.2444,-97.75121,Entire home/apt,150,86,2
57187,78704,30.255959999999998,-97.76866,Entire home/apt,102,363,1
68130,78751,30.311709999999998,-97.72455,Entire home/apt,51,90,2
69303,78704,30.2607,-97.77194,Entire home/apt,155,287,2
69352,78704,30.25775,-97.76354,Entire home/apt,159,104,2
69810,78704,30.23152,-97.76434,Entire home/apt,119,0,2
70258,78704,30.236159999999998,-97.76446,Entire home/apt,249,90,2
70812,78704,30.245009999999997,-97.74986,Entire home/apt,150,86,2
72318,78704,30.2532,-97.77891,Private room,225,0,3
72633,78704,30.24604,-97.75329,Entire home/apt,470,363,2
72833,78731,30.313000000000002,-97.75066,Entire home/apt,85,250,3
72876,78729,30.44755,-97.76115,Private room,49,0,3
73005,78727,30.415190000000003,-97.73019000000001,Entire home/apt,230,1,2
73289,78705,30.28985,-97.7451,Entire home/apt,112,301,30
74318,78704,30.244220000000002,-97.77885,Entire home/apt,93,364,2
75174,78702,30.247729999999997,-97.72584,Entire home/apt,110,217,2
75957,78703,30.29187,-97.76824,Entire home/apt,104,355,2
76497,78703,30.27577,-97.75608000000001,Entire home/apt,90,352,2
76501,78722,30.29138,-97.71907,Entire home/apt,100,175,2
76911,78702,30.26775,-97.72695,Entire home/apt,485,339,2
76925,78702,30.25517,-97.72458,Entire home/apt,400,0,2
76996,78704,30.23872,-97.74521,Entire home/apt,80,171,20
77029,78702,30.2699,-97.73222,Entire home/apt,139,12,1
77635,78704,30.25177,-97.77888,Entire home/apt,175,352,2
77639,78704,30.25003,-97.77859000000001,Entire home/apt,149,344,2
77998,78725,30.25923,-97.66815,Entire home/apt,190,351,2
78035,78704,30.25625,-97.76765999999999,Entire home/apt,750,0,3
78127,78701,30.2752,-97.74863,Entire home/apt,240,0,1
78422,78702,30.27324,-97.71173,Private room,65,89,1
78757,78704,30.247159999999997,-97.78200000000001,Private room,125,364,2
78831,78751,30.312620000000003,-97.72543,Entire home/apt,109,126,2
78884,78704,30.26088,-97.77438000000001,Entire home/apt,97,114,2
79432,78703,30.2809,-97.76065,Entire home/apt,119,89,30
79603,78704,30.24936,-97.75904,Entire home/apt,150,266,2
79768,78702,30.260709999999996,-97.73258,Entire home/apt,225,0,4
80725,78703,30.28408,-97.76828,Entire home/apt,150,244,30
82033,78723,30.304190000000002,-97.68914000000001,Entire home/apt,400,90,1
83643,78752,30.323729999999998,-97.71629,Private room,50,321,2
84771,78705,30.292690000000004,-97.74345,Entire home/apt,81,0,2
89475,78757,30.356690000000004,-97.72658,Entire home/apt,329,0,30
104386,78704,30.246129999999997,-97.74528000000001,Entire home/apt,70,271,31
109005,78703,30.283990000000003,-97.77094,Entire home/apt,80,342,3
113779,78751,30.303259999999998,-97.73057,Entire home/apt,126,297,5
113791,78751,30.3022,-97.73013,Private room,60,260,30
116014,78701,30.275090000000002,-97.74851,Entire home/apt,259,0,1
128326,78736,30.24395,-98.00244,Entire home/apt,295,0,3
140474,78751,30.302259999999997,-97.73143,Entire home/apt,142,299,5
140504,78751,30.30242,-97.72954,Entire home/apt,126,294,5
141550,78702,30.25582,-97.72709,Entire home/apt,97,26,1
145210,78705,30.302190000000003,-97.74143000000001,Entire home/apt,100,331,3
154103,78704,30.2515,-97.78206,Entire home/apt,373,364,3
155359,78732,30.418129999999998,-97.88915,Entire home/apt,94,129,90
158398,78704,30.2521,-97.78381999999999,Entire home/apt,442,278,3
