id,neighbourhood,latitude,longitude,room_type,price,availability_365,minimum_nights
3781,East Boston,42.364129999999996,-71.02991,Entire home/apt,146,0,28
5506,Roxbury,42.329809999999995,-71.09559,Entire home/apt,145,0,3
6695,Roxbury,42.32994,-71.09351,Entire home/apt,169,0,3
10730,Downtown,42.3584,-71.06185,Entire home/apt,85,364,91
10813,Back Bay,42.34961,-71.08904,Entire home/apt,87,0,28
10986,North End,42.36352,-71.05075,Entire home/apt,83,340,28
18711,Dorchester,42.32212,-71.06096,Entire home/apt,129,211,32
22195,Back Bay,42.34558,-71.0793,Private room,152,205,1
24240,North End,42.363659999999996,-71.05023,Entire home/apt,275,169,2
29765,Charlestown,42.37754,-71.06642,Entire home/apt,226,114,2
40601,Jamaica Plain,42.3151,-71.11108,Private room,85,243,56
45987,Charlestown,42.37404,-71.06118000000001,Entire home/apt,125,89,3
60029,Roxbury,42.32584,-71.08927,Private room,78,179,14
60356,Downtown,42.35712,-71.0618,Entire home/apt,85,296,32
67774,Beacon Hill,42.358670000000004,-71.06331999999999,Entire home/apt,85,279,32
69369,Roxbury,42.32614,-71.0884,Private room,82,179,14
77681,Charlestown,42.37853,-71.06177,Private room,140,0,2
95453,Allston,42.35937,-71.13156,Entire home/apt,199,267,5
163941,Roxbury,42.32965,-71.09503000000001,Entire home/apt,231,0,3
169430,Roxbury,42.32158,-71.09047,Entire home/apt,88,0,2
182613,Charlestown,42.377390000000005,-71.06044,Entire home/apt,119,9,91
190170,Dorchester,42.310390000000005,-71.06907,Entire home/apt,42,8,7
197727,Jamaica Plain,42.3132,-71.11832,Private room,60,119,30
197972,Jamaica Plain,42.31732,-71.10834,Entire home/apt,145,0,2
210097,Jamaica Plain,42.31864,-71.10641,Entire home/apt,93,249,3
220676,North End,42.365390000000005,-71.05438000000001,Private room,145,89,3
257588,South Boston,42.330659999999995,-71.03984,Entire home/apt,264,219,2
276450,Roxbury,42.33821,-71.07978,Entire home/apt,113,170,30
322593,South End,42.34232,-71.07594,Entire home/apt,171,172,28
349347,Roxbury,42.33824,-71.08171,Entire home/apt,107,79,30
400067,Dorchester,42.30088,-71.0819,Private room,60,363,91
447826,Jamaica Plain,42.31658,-71.11012,Private room,71,251,3
496022,Jamaica Plain,42.3092,-71.11836,Private room,173,0,91
530983,Dorchester,42.31368,-71.0612,Entire home/apt,206,289,29
533114,Dorchester,42.3122,-71.0611,Entire home/apt,86,325,32
533152,Dorchester,42.32212,-71.06096,Entire home/apt,65,251,32
561769,Dorchester,42.31371,-71.06126,Entire home/apt,103,204,29
579605,Dorchester,42.32212,-71.06095,Entire home/apt,105,301,32
583255,Brighton,42.34171,-71.14851,Entire home/apt,149,0,91
601763,West Roxbury,42.291920000000005,-71.15406999999999,Entire home/apt,111,211,32
611081,Charlestown,42.37579,-71.04981,Entire home/apt,228,341,2
619142,Charlestown,42.37808,-71.06343000000001,Entire home/apt,175,296,91
646087,South Boston,42.33477,-71.04995,Private room,190,173,1
658029,Roxbury,42.339220000000005,-71.08140999999999,Entire home/apt,113,151,30
675441,Charlestown,42.370740000000005,-71.07722,Private room,180,0,91
697078,Beacon Hill,42.35893,-71.06331,Entire home/apt,85,334,91
708802,Charlestown,42.37755,-71.0628,Entire home/apt,182,194,2
743211,Jamaica Plain,42.30581,-71.1126,Entire home/apt,571,0,3
743759,Roslindale,42.29424,-71.13183000000001,Private room,25,365,91
753446,Roslindale,42.28588,-71.12491,Private room,55,365,91
771309,Dorchester,42.30805,-71.04966,Private room,59,362,91
798957,South End,42.34232,-71.07594,Entire home/apt,329,5,28
801680,Roxbury,42.328520000000005,-71.09539000000001,Entire home/apt,169,1,3
801722,Roxbury,42.32819,-71.09405,Entire home/apt,149,0,3
820073,Downtown,42.3558,-71.06104,Entire home/apt,332,70,2
826706,Dorchester,42.29996,-71.0806,Private room,79,365,91
839265,Dorchester,42.29822,-71.07621,Private room,61,363,91
849408,Roslindale,42.28882,-71.13951,Entire home/apt,189,0,10
863788,South End,42.34367,-71.0708,Entire home/apt,385,2,2
891661,North End,42.36853,-71.05363,Entire home/apt,145,312,2
894539,Roslindale,42.2909,-71.13024,Private room,90,233,30
901914,South End,42.34137,-71.0695,Entire home/apt,217,83,1
