id,neighbourhood,latitude,longitude,room_type,price,availability_365,minimum_nights
42084,Fort Lauderdale,26.12814,-80.10259,Entire home/apt,199,0,4
57818,Hollywood,26.0167,-80.12437,Entire home/apt,162,364,2
69824,Hallandale Beach,25.9784,-80.12028000000001,Entire home/apt,100,0,30
83449,Dania Beach,26.033920000000002,-80.14201,Entire home/apt,90,320,7
105411,Southwest Ranches,26.04678,-80.36809000000001,Entire home/apt,235,355,4
129061,Hollywood,25.99332,-80.11887,Entire home/apt,250,0,20
129099,Hollywood,25.99416,-80.11969,Entire home/apt,250,0,18
148247,Weston,26.10698,-80.37118000000001,Private room,55,352,1
183714,Hollywood,26.0383,-80.23558,Entire home/apt,159,365,30
191160,Deerfield Beach,26.30647,-80.07824000000001,Entire home/apt,119,52,2
216046,Hollywood,26.007460000000002,-80.19631,Entire home/apt,350,290,2
217990,Hollywood,25.9942,-80.11725,Entire home/apt,160,0,10
229773,Fort Lauderdale,26.11784,-80.11059,Entire home/apt,200,340,3
240409,Pompano Beach,26.243470000000002,-80.08914,Entire home/apt,175,365,7
241944,Dania Beach,26.033920000000002,-80.14201,Entire home/apt,78,365,7
246272,Hollywood,26.02374,-80.11685,Entire home/apt,101,154,7
256386,Hollywood,26.0274,-80.14268,Entire home/apt,100,339,3
297424,Miramar,25.988020000000002,-80.30724000000001,Entire home/apt,80,0,2
302467,Fort Lauderdale,26.15081,-80.13361,Entire home/apt,159,323,3
307735,Coral Springs,26.229940000000003,-80.29244,Private room,70,89,2
308839,Miramar,25.985770000000002,-80.31657,Private room,42,261,180
320480,Plantation,26.11315,-80.26487,Entire home/apt,390,365,7
325734,Hollywood,26.02603,-80.14215,Entire home/apt,70,365,3
334321,Cooper City,26.05326,-80.28041,Private room,152,363,2
334375,Cooper City,26.0534,-80.28132,Entire home/apt,350,356,3
349538,Fort Lauderdale,26.13588,-80.10394000000001,Entire home/apt,269,178,7
349546,Fort Lauderdale,26.13803,-80.10474,Entire home/apt,149,55,3
366178,Fort Lauderdale,26.12588,-80.13675,Entire home/apt,125,335,7
367815,Hollywood,26.00831,-80.11583,Entire home/apt,110,358,90
385837,Fort Lauderdale,26.118389999999998,-80.15603,Entire home/apt,125,138,2
393982,Fort Lauderdale,26.12575,-80.13523,Entire home/apt,125,347,7
402149,Hollywood,26.02411,-80.11628,Shared room,300,365,7
404797,Sunrise,26.14102,-80.31461999999999,Entire home/apt,239,365,5
433485,Hollywood,26.03173,-80.20597,Entire home/apt,58,39,4
436596,Pompano Beach,26.217059999999996,-80.12132,Entire home/apt,385,352,7
438860,Fort Lauderdale,26.17716,-80.09776,Entire home/apt,125,273,2
439914,Lauderhill,26.17582,-80.23224,Entire home/apt,85,365,360
453183,Fort Lauderdale,26.12262,-80.13712,Entire home/apt,100,109,210
455884,Hollywood,26.02366,-80.2215,Entire home/apt,70,75,3
484515,Hollywood,25.99377,-80.1183,Entire home/apt,250,335,16
496697,Hollywood,26.03019,-80.14253000000001,Entire home/apt,69,357,3
503772,Hollywood,26.00071,-80.15769,Entire home/apt,100,364,1
533847,Miramar,25.98779,-80.3169,Private room,27,179,180
577098,Plantation,26.13392,-80.2358,Private room,55,303,2
582989,Hollywood,26.026410000000002,-80.14579,Entire home/apt,52,137,5
592583,Fort Lauderdale,26.136210000000002,-80.10403000000001,Entire home/apt,279,0,3
658344,Fort Lauderdale,26.13804,-80.10531999999999,Entire home/apt,229,0,6
674776,Hollywood,26.01275,-80.11671,Entire home/apt,70,273,28
677855,Fort Lauderdale,26.112029999999997,-80.16028,Private room,52,365,1
680331,Hallandale Beach,25.98637,-80.11867,Entire home/apt,159,365,1
685317,Deerfield Beach,26.30821,-80.07829,Entire home/apt,69,0,2
695109,Fort Lauderdale,26.13648,-80.10606,Entire home/apt,269,0,7
695242,Fort Lauderdale,26.13748,-80.10556,Entire home/apt,347,0,6
716990,Fort Lauderdale,26.14232,-80.12738,Entire home/apt,550,0,15
722515,Hollywood,26.0073,-80.15713000000001,Entire home/apt,900,224,3
724829,Fort Lauderdale,26.164620000000003,-80.10483,Private room,135,229,1
765598,Fort Lauderdale,26.16633,-80.11567,Entire home/apt,450,344,3
801174,Margate,26.221999999999998,-80.21673,Private room,50,87,20
813346,Deerfield Beach,26.30933,-80.07735,Entire home/apt,300,365,60
817635,Deerfield Beach,26.32085,-80.14409,Entire home/apt,119,207,7
844392,Hallandale Beach,25.98623,-80.1194,Entire home/apt,119,180,5
845458,Wilton Manors,26.16163,-80.15217,Entire home/apt,250,359,4
901497,Dania Beach,26.033920000000002,-80.14201,Entire home/apt,55,48,4
912964,Hollywood,25.98925,-80.11882,Entire home/apt,190,289,2
915364,Hollywood,26.025579999999998,-80.14704,Entire home/apt,64,345,3
916342,Dania Beach,26.033920000000002,-80.14201,Entire home/apt,65,260,7
980856,Coral Springs,26.25763,-80.23714,Entire home/apt,100,341,3
990398,Fort Lauderdale,26.14705,-80.15205999999999,Entire home/apt,82,207,7
998144,Hallandale Beach,25.98643,-80.11813000000001,Entire home/apt,199,171,5
1002995,Tamarac,26.17976,-80.22598,Private room,34,144,1
1018940,Hollywood,25.99377,-80.11721999999999,Entire home/apt,389,364,21
1032299,Hollywood,25.988120000000002,-80.11907,Entire home/apt,165,365,30
1038248,Pembroke Pines,26.01895,-80.25820999999999,Entire home/apt,300,226,7
1051620,Fort Lauderdale,26.13556,-80.12118000000001,Private room,74,86,1
1053872,Fort Lauderdale,26.11499,-80.11301,Entire home/apt,399,328,1
1062184,Hollywood,25.98785,-80.11889000000001,Entire home/apt,159,364,30
1065650,Hollywood,25.9897,-80.11763,Entire home/apt,175,364,30
1069095,North Lauderdale,26.21588,-80.22835,Private room,39,145,1
1071295,Hollywood,25.997429999999998,-80.11771,Entire home/apt,85,365,90
1076949,Fort Lauderdale,26.11777,-80.15773,Entire home/apt,125,333,2
1078746,Hollywood,25.98818,-80.11751,Entire home/apt,159,364,30
1080080,Fort Lauderdale,26.11725,-80.11189,Entire home/apt,287,311,3
1085277,Hollywood,25.98772,-80.11927,Entire home/apt,170,362,30
1092175,Hollywood,25.9867,-80.11926,Entire home/apt,199,180,5
1097406,Hollywood,26.01865,-80.16034,Entire home/apt,200,364,1
1115250,Wilton Manors,26.15727,-80.15172,Private room,110,365,1
1115473,Wilton Manors,26.15898,-80.15189000000001,Private room,110,365,1
1117425,Lauderdale By The Sea,26.19502,-80.09751999999999,Entire home/apt,135,298,5
1118565,Lauderdale By The Sea,26.19206,-80.09761,Entire home/apt,133,343,5
1127112,Hollywood,26.01299,-80.11543,Entire home/apt,60,77,5
1133172,Hollywood,25.992070000000002,-80.11874,Entire home/apt,314,363,21
1137299,Plantation,26.12142,-80.24073,Private room,99,362,2
1147098,Hollywood,26.00759,-80.11876,Entire home/apt,279,170,4
1149806,Oakland Park,26.170820000000003,-80.13079,Entire home/apt,94,333,1
1153010,Hollywood,25.987560000000002,-80.11761,Entire home/apt,185,364,30
1173175,Hollywood,26.02862,-80.16496,Entire home/apt,450,364,1
1173304,Hollywood,26.03044,-80.16362,Private room,90,0,1
1173305,Hollywood,26.02834,-80.16334,Private room,87,365,1
1195168,Hollywood,25.99352,-80.11699,Entire home/apt,334,197,21
1206443,Hallandale Beach,25.97843,-80.12082,Entire home/apt,200,365,30
1213464,Hollywood,26.01284,-80.11551,Entire home/apt,85,353,5
1231564,Coconut Creek,26.317829999999997,-80.17438,Private room,70,364,2
1288111,Plantation,26.10537,-80.24301,Entire home/apt,175,313,3
1293741,Hollywood,25.987070000000003,-80.11925,Entire home/apt,200,334,4
1297784,Deerfield Beach,26.30155,-80.09108,Entire home/apt,279,342,2
1301449,Miramar,25.97656,-80.2241,Entire home/apt,130,298,4
1305586,Hollywood,25.99211,-80.11724,Entire home/apt,86,322,29
1312899,Plantation,26.12323,-80.32615,Entire home/apt,100,192,7
1313403,Hollywood,26.0297,-80.14121999999999,Entire home/apt,125,0,3
1326340,Hollywood,26.01673,-80.11708,Entire home/apt,95,364,30
1329995,Hollywood,25.99439,-80.11851,Entire home/apt,100,89,30
1339495,Fort Lauderdale,26.11532,-80.11315,Entire home/apt,299,351,3
1375343,Hollywood,26.02567,-80.14201,Entire home/apt,80,365,3
1376873,Hollywood,26.02369,-80.11542,Entire home/apt,165,365,1
1381979,Hallandale Beach,25.98625,-80.11964,Entire home/apt,149,0,30
1408900,Dania Beach,26.033920000000002,-80.14201,Entire home/apt,80,201,7
1411427,Pembroke Pines,25.99836,-80.38582,Entire home/apt,115,357,30
1488193,Fort Lauderdale,26.12771,-80.10714,Entire home/apt,167,16,7
1488341,Hollywood,25.98819,-80.11971,Entire home/apt,199,157,5
1511754,Hollywood,25.98986,-80.11713,Entire home/apt,128,217,4
1515533,Fort Lauderdale,26.12414,-80.13276,Entire home/apt,125,363,4
