id,neighbourhood,latitude,longitude,room_type,price,availability_365,minimum_nights
8521,West Cambridge,42.38329,-71.13616999999999,Entire home/apt,150,307,3
11169,North Cambridge,42.394690000000004,-71.13223,Private room,105,364,2
11945,North Cambridge,42.39454,-71.13431,Private room,75,0,3
19581,The Port,42.362759999999994,-71.09765,Private room,185,0,4
22006,Neighborhood Nine,42.3867,-71.12387,Private room,110,125,2
24063,West Cambridge,42.376059999999995,-71.14041,Private room,110,357,2
26531,Riverside,42.3719,-71.11569,Entire home/apt,200,365,4
27498,The Port,42.36381,-71.09754000000001,Private room,250,365,5
79762,The Port,42.3695,-71.09921,Entire home/apt,225,1,3
106474,The Port,42.3627,-71.09645,Private room,260,1,5
108898,West Cambridge,42.38377,-71.13543,Entire home/apt,130,324,2
219471,Cambridgeport,42.361090000000004,-71.10425,Entire home/apt,144,365,10
231115,Mid-Cambridge,42.367709999999995,-71.1058,Entire home/apt,225,105,30
280304,Riverside,42.37036,-71.11496,Entire home/apt,194,18,3
321847,The Port,42.36549,-71.098,Entire home/apt,300,3,2
326170,Agassiz,42.38247,-71.11403,Entire home/apt,110,0,1
405144,Mid-Cambridge,42.37125,-71.11105,Entire home/apt,180,364,31
405548,West Cambridge,42.38258,-71.1371,Entire home/apt,150,0,2
445407,Wellington-Harrington,42.37363,-71.08909,Entire home/apt,350,1,2
459074,Cambridgeport,42.36291,-71.10435,Entire home/apt,100,0,2
464471,Wellington-Harrington,42.37317,-71.09743,Entire home/apt,175,266,91
742574,Cambridgeport,42.36486,-71.10328,Entire home/apt,150,146,30
798213,North Cambridge,42.40168,-71.13512,Private room,65,172,1
810461,The Port,42.370470000000005,-71.09781,Private room,98,15,2
860634,Agassiz,42.38391,-71.11449,Private room,70,0,1
910408,Mid-Cambridge,42.37039,-71.10645,Entire home/apt,100,363,300
1054635,Mid-Cambridge,42.37254,-71.1126,Entire home/apt,125,309,91
1067104,North Cambridge,42.39177,-71.13116,Private room,79,365,145
1097262,Cambridgeport,42.35629,-71.11095,Private room,70,0,30
1130655,Agassiz,42.38454,-71.1156,Private room,125,365,91
1140201,Cambridgeport,42.36112,-71.1066,Private room,70,365,30
1141088,Wellington-Harrington,42.37117,-71.09685,Entire home/apt,179,0,2
1143701,North Cambridge,42.38884,-71.12048,Private room,125,365,91
1154298,North Cambridge,42.400209999999994,-71.13643,Private room,65,340,1
1193875,The Port,42.364329999999995,-71.09911,Private room,33,2,1
1215512,Strawberry Hill,42.378240000000005,-71.14915,Entire home/apt,160,362,91
1216161,Mid-Cambridge,42.3762,-71.10919,Entire home/apt,135,101,91
1225831,The Port,42.36458,-71.09845,Entire home/apt,155,254,3
1276962,The Port,42.3678,-71.10175,Entire home/apt,200,276,3
1307195,Cambridgeport,42.36392,-71.10191,Entire home/apt,469,22,2
1315920,Wellington-Harrington,42.369859999999996,-71.09583,Entire home/apt,698,364,1
1330779,Neighborhood Nine,42.38905,-71.12425,Entire home/apt,200,365,7
1341022,The Port,42.36821,-71.09436,Entire home/apt,134,274,91
1404377,East Cambridge,42.36743,-71.08458,Private room,140,250,2
1406416,East Cambridge,42.37143,-71.07881,Private room,140,265,2
1502981,Neighborhood Nine,42.38538,-71.11995999999999,Private room,95,0,3
1609674,Neighborhood Nine,42.37599,-71.11792,Entire home/apt,375,364,91
