id,neighbourhood,latitude,longitude,room_type,price,availability_365,minimum_nights
2384,Hyde Park,41.7879,-87.5878,Private room,60,353,2
4505,South Lawndale,41.85495,-87.69696,Entire home/apt,105,155,2
7126,West Town,41.90289,-87.68182,Entire home/apt,60,321,2
9811,Lincoln Park,41.91769,-87.63788000000001,Entire home/apt,65,300,4
10610,Hyde Park,41.79612,-87.59261,Private room,21,168,1
10945,Lincoln Park,41.91183,-87.64,Entire home/apt,115,325,4
12068,Near North Side,41.90452,-87.6332,Entire home/apt,99,316,5
12140,Lincoln Park,41.92335,-87.64950999999999,Private room,289,179,2
22362,West Town,41.89617,-87.66041,Entire home/apt,99,365,91
24833,Lincoln Park,41.926790000000004,-87.65521,Entire home/apt,112,180,32
25879,Lincoln Park,41.92693,-87.65753000000001,Entire home/apt,75,62,32
28749,Logan Square,41.92083,-87.6801,Entire home/apt,94,332,2
37738,Uptown,41.97385,-87.66539,Private room,77,223,3
39742,Near North Side,41.89377,-87.63465,Private room,75,0,2
44020,Lincoln Park,41.92673,-87.65731,Entire home/apt,95,206,32
71930,West Town,41.89615,-87.67934,Private room,65,178,3
79101,Uptown,41.96792,-87.65756999999999,Private room,157,363,2
84042,West Town,41.89615,-87.67934,Private room,50,314,3
110705,Uptown,41.9693,-87.65621,Private room,99,363,2
126280,Uptown,41.96852,-87.65225,Private room,35,138,3
145659,North Center,41.94342,-87.68121,Entire home/apt,197,361,2
145690,Lincoln Park,41.912890000000004,-87.63864000000001,Entire home/apt,279,355,2
165952,Lake View,41.94274,-87.67321,Entire home/apt,198,364,3
166667,North Center,41.94274,-87.67378000000001,Entire home/apt,125,365,3
166706,Lake View,41.942209999999996,-87.67327,Entire home/apt,280,365,3
175511,Irving Park,41.96012,-87.72158,Entire home/apt,79,346,28
184764,Portage Park,41.94325,-87.75403,Private room,85,324,3
189821,Logan Square,41.92918,-87.70219,Entire home/apt,201,134,3
198135,North Center,41.95935,-87.67963,Private room,30,89,3
207218,Pullman,41.6883,-87.60892,Entire home/apt,90,289,1
207351,Pullman,41.68909,-87.6088,Entire home/apt,39,107,30
221109,West Town,41.89273,-87.65654,Entire home/apt,99,0,20
225314,Logan Square,41.92543,-87.69593,Private room,79,358,2
230836,Uptown,41.96331,-87.66088,Private room,125,0,365
233933,Irving Park,41.95602,-87.72780999999999,Private room,55,179,7
248791,Uptown,41.96797,-87.65791,Private room,93,363,2
250354,Near South Side,41.86051,-87.62399,Entire home/apt,170,358,180
258253,West Ridge,42.00692,-87.68438,Entire home/apt,48,344,32
261509,Near North Side,41.90314,-87.63494,Entire home/apt,119,364,32
264547,Near West Side,41.88467,-87.64487,Entire home/apt,204,362,10
267299,Uptown,41.96924,-87.65807,Entire home/apt,764,0,1
267646,Logan Square,41.92716,-87.70470999999999,Private room,103,264,2
275496,Near West Side,41.88623,-87.6404,Entire home/apt,156,364,360
289689,Edgewater,41.977940000000004,-87.65764,Private room,26,332,30
289884,Logan Square,41.920629999999996,-87.68353,Private room,145,365,1
290155,Bridgeport,41.827020000000005,-87.63967,Entire home/apt,130,0,3
298321,Woodlawn,41.78216,-87.59026999999999,Private room,47,365,2
312192,Bridgeport,41.82741,-87.63934,Entire home/apt,146,0,4
313227,Albany Park,41.96331,-87.70916,Entire home/apt,85,268,3
345075,Kenwood,41.8077,-87.59436,Private room,85,355,2
350347,Lake View,41.939859999999996,-87.65473,Entire home/apt,128,313,3
372929,West Town,41.89862,-87.65597,Entire home/apt,178,360,2
404792,West Town,41.88913,-87.66763,Entire home/apt,105,2,5
446474,West Town,41.90095,-87.68181,Entire home/apt,175,365,3
450648,Near South Side,41.86614,-87.62275,Private room,119,263,3
464581,Logan Square,41.92451,-87.69385,Entire home/apt,60,127,2
479086,Avondale,41.93245,-87.71528,Shared room,25,0,1
484898,Uptown,41.97053,-87.67267,Entire home/apt,232,0,3
496809,Rogers Park,42.00435,-87.67501,Private room,86,364,3
507517,Lincoln Square,41.96714,-87.69611,Entire home/apt,98,174,3
537419,Lake View,41.942859999999996,-87.63919,Private room,130,365,1
542067,Logan Square,41.93142,-87.69989,Entire home/apt,132,263,3
544261,Near South Side,41.85467,-87.61417,Entire home/apt,495,365,2
548905,Grand Boulevard,41.82293,-87.61559,Entire home/apt,89,355,2
573540,Lake View,41.942840000000004,-87.63919,Entire home/apt,490,365,1
585353,West Town,41.88961,-87.66268000000001,Private room,57,263,1
585356,West Town,41.890029999999996,-87.66241,Private room,78,349,1
589939,West Town,41.89054,-87.66261,Shared room,69,364,1
611839,North Center,41.93537,-87.67945999999999,Private room,43,0,7
628149,West Town,41.89056,-87.66086,Private room,63,323,1
634310,Edgewater,41.99667,-87.66213,Private room,66,305,2
640841,Lake View,41.94242,-87.67134,Entire home/apt,180,119,4
642053,West Town,41.90567,-87.67311,Hotel room,160,0,2
642065,West Town,41.906859999999995,-87.67319,Private room,142,0,2
651742,Forest Glen,41.99244,-87.75569,Private room,60,363,3
662034,Forest Glen,41.99201,-87.75719000000001,Private room,50,364,3
681842,West Ridge,41.99348,-87.68121,Private room,50,358,3
697634,Near North Side,41.90302,-87.63499,Entire home/apt,85,0,30
724895,West Town,41.889990000000004,-87.66096,Private room,39,263,1
726376,Lake View,41.93932,-87.65218,Entire home/apt,106,0,2
727847,Logan Square,41.92255,-87.70293000000001,Private room,70,365,2
731232,Logan Square,41.92669,-87.699,Entire home/apt,165,327,2
739495,Lincoln Square,41.97847,-87.68087,Entire home/apt,75,244,28
753809,Loop,41.88624,-87.61565999999999,Entire home/apt,130,365,31
755701,Logan Square,41.929970000000004,-87.72061,Entire home/apt,72,205,25
764856,Near West Side,41.886759999999995,-87.64935,Entire home/apt,150,128,2
773127,North Center,41.949940000000005,-87.682,Private room,78,0,2
789429,Uptown,41.961929999999995,-87.66238,Private room,99,365,365
790016,Uptown,41.96046,-87.66346,Entire home/apt,299,365,365
802613,Logan Square,41.92285,-87.68323000000001,Entire home/apt,204,364,1
824518,West Town,41.90213,-87.67598000000001,Entire home/apt,95,82,28
834943,Lincoln Square,41.962379999999996,-87.68378,Entire home/apt,105,266,2
841024,Lake View,41.9443,-87.64661,Entire home/apt,239,365,32
863120,Lincoln Park,41.9217,-87.65959000000001,Private room,85,0,2
887038,Lincoln Park,41.9263,-87.65567,Entire home/apt,55,365,32
903996,Logan Square,41.92649,-87.7138,Private room,110,204,2
929914,Lincoln Park,41.91316,-87.63813,Entire home/apt,115,254,2
931105,East Garfield Park,41.88449,-87.69659,Private room,101,362,3
949514,West Town,41.90677,-87.66788000000001,Private room,50,0,3
960326,West Town,41.89505,-87.65449,Entire home/apt,146,345,1
979841,Rogers Park,42.004979999999996,-87.66712,Private room,79,0,2
979926,Rogers Park,42.00623,-87.66794,Private room,69,264,2
979942,Rogers Park,42.004259999999995,-87.66693000000001,Private room,69,264,2
983640,Rogers Park,42.003809999999994,-87.67081999999999,Entire home/apt,169,263,2
1020810,Near North Side,41.8943,-87.62609,Entire home/apt,85,310,30
1027405,North Lawndale,41.85432,-87.70769,Private room,45,88,2
1027463,North Lawndale,41.85423,-87.70784,Private room,45,89,2
1027741,North Lawndale,41.85455,-87.70768000000001,Private room,45,0,2
1056430,Lake View,41.94376,-87.65164,Private room,79,355,2
1080532,Lake View,41.93396,-87.64108,Entire home/apt,130,119,6
1083987,Near South Side,41.852779999999996,-87.62453000000001,Entire home/apt,21,218,30
1096191,Uptown,41.97271,-87.65236,Entire home/apt,55,216,30
1113259,Rogers Park,42.01761,-87.67987,Private room,43,0,1
