id,neighbourhood,latitude,longitude,room_type,price,availability_365,minimum_nights
90676,Near North/University,39.983940000000004,-83.00321,Entire home/apt,198,137,1
543140,Near North/University,40.01243,-83.00986,Private room,47,216,3
591101,Near East,39.96086,-82.97968,Private room,80,362,2
681145,Near North/University,40.01898,-83.00067,Entire home/apt,90,0,2
923248,Near North/University,40.01259,-83.00164000000001,Shared room,30,359,1
927867,Near North/University,40.01259,-83.00164000000001,Private room,60,362,1
1217678,Clintonville,40.03828,-83.01838000000001,Private room,75,351,1
1286887,Near South,39.946999999999996,-82.99074,Entire home/apt,199,330,3
1321192,Near South,39.95353,-82.96725,Entire home/apt,235,363,1
1336145,Clintonville,40.03689,-83.0183,Private room,75,351,1
1520102,Near North/University,40.01259,-83.00164000000001,Shared room,32,356,1
1534493,Near South,39.95194,-82.96636,Private room,49,7,1
1534602,Near South,39.95231,-82.96705,Private room,49,7,1
1763836,Near North/University,40.017959999999995,-83.00267,Entire home/apt,52,171,180
1900779,Near North/University,39.98473,-83.01268,Entire home/apt,157,279,2
2031035,Near South,39.95192,-82.96644,Entire home/apt,112,0,1
2134901,Near North/University,39.987429999999996,-83.01669,Entire home/apt,180,270,2
2172026,Near North/University,39.9867,-83.01120999999999,Entire home/apt,140,330,2
2196955,West Olentangy,40.023559999999996,-83.03218000000001,Private room,38,55,30
2227278,Near South,39.940979999999996,-82.98737,Entire home/apt,250,323,4
2262958,Near North/University,39.98702,-83.01136,Entire home/apt,160,331,2
2284335,Clintonville,40.028290000000005,-83.02188000000001,Entire home/apt,69,313,1
2349920,Near North/University,39.98617,-83.00371,Entire home/apt,225,252,2
2642205,Eastland/Brice,39.92098,-82.82189,Private room,50,365,1
3193181,South Linden,40.0087,-82.97471999999999,Entire home/apt,70,154,1
3217988,Near North/University,39.97652,-82.99983,Entire home/apt,325,0,2
3570253,Franklinton,39.95358,-83.02922,Private room,45,0,1
3731977,Rocky Fork-Blacklick,40.09093,-82.88549,Private room,50,111,28
3750603,Near East,39.95362,-82.96791,Private room,29,7,1
3940646,Near East,39.9659,-82.97556999999999,Entire home/apt,65,67,1
3975468,South Linden,40.008990000000004,-82.97534,Private room,45,180,1
4679761,Near North/University,40.012570000000004,-83.00159000000001,Private room,70,362,1
5091530,Near North/University,39.97524,-83.00408,Entire home/apt,89,176,2
5297763,Near North/University,39.98879,-83.00255,Entire home/apt,140,342,1
5372431,Northeast,40.01027,-82.92709,Private room,35,12,2
5533834,Near North/University,39.98296,-82.99871,Entire home/apt,295,361,1
5580209,Near East,39.97063,-82.95925,Private room,73,210,6
5770106,Near North/University,39.97847,-83.00887,Entire home/apt,120,365,30
5820556,Near North/University,39.98992,-83.00426999999999,Entire home/apt,87,325,2
5854666,Eastmoor/Walnut Ridge,39.96927,-82.92156,Private room,75,365,2
5945411,Rocky Fork-Blacklick,40.08939,-82.8854,Private room,50,0,28
6214751,Near East,39.9661,-82.96512,Entire home/apt,99,0,1
6289292,Near South,39.951229999999995,-82.96691,Shared room,20,0,1
6391158,Rocky Fork-Blacklick,40.06225,-82.85429,Private room,42,363,1
6416756,Rocky Fork-Blacklick,40.06193,-82.85436,Private room,58,363,1
6448501,Near South,39.93983,-82.99632,Entire home/apt,95,148,2
6476122,Near North/University,39.98472,-83.00636,Entire home/apt,195,347,2
6527620,Near North/University,39.98842,-83.00743,Entire home/apt,69,0,2
6805322,South Linden,40.00711,-82.97379000000001,Shared room,30,90,1
6883920,Hayden Run,40.06689,-83.11678,Entire home/apt,178,333,30
6924472,Near North/University,39.992,-83.01084,Private room,23,322,1
7021423,Near South,39.94993,-82.98231,Entire home/apt,220,134,30
7061726,Near North/University,39.98695,-83.00125,Entire home/apt,140,362,1
7564891,Northland,40.06467,-82.98839,Private room,25,353,30
7617016,Northland,40.06467,-82.98839,Private room,35,362,30
7637541,Northland,40.064659999999996,-82.98839,Private room,25,331,30
7663120,Near North/University,39.98511,-83.00202,Entire home/apt,200,0,1
7771588,Near North/University,40.019040000000004,-83.00171999999999,Entire home/apt,85,207,3
7909479,Downtown,39.96581,-82.99891,Entire home/apt,100,365,30
8492057,Clintonville,40.06819,-83.02479,Private room,150,332,1
8507141,Northland,40.0615,-82.98872,Private room,25,178,30
8507146,Northland,40.06467,-82.98839,Private room,25,242,30
8578379,Near East,39.96145,-82.97216,Private room,29,335,1
8662090,Near East,39.966609999999996,-82.96441,Entire home/apt,65,48,2
8688424,Northwest,40.06366,-83.09885,Private room,64,363,2
8702043,Near North/University,39.98382,-83.01635,Entire home/apt,300,363,1
8715345,Near North/University,39.98832,-83.00027,Entire home/apt,66,0,1
8798720,Near North/University,39.98507,-83.00626,Entire home/apt,1000,329,30
9164504,Near North/University,39.98285,-83.01561,Entire home/apt,59,360,1
9169196,Near North/University,39.98908,-83.00898000000001,Entire home/apt,190,5,2
9213984,Far Northwest,40.10672,-83.07529,Entire home/apt,160,347,2
9403080,Northland,40.060790000000004,-82.92073,Entire home/apt,110,336,1
9561460,Near East,39.96028,-82.95052,Private room,47,148,1
9616366,Northeast,40.009209999999996,-82.92745,Private room,35,0,2
9725156,North Linden,40.03632,-82.9885,Private room,45,1,1
9903695,Near North/University,39.97977,-83.00284,Entire home/apt,150,365,2
10016466,Near North/University,39.981840000000005,-83.02069,Entire home/apt,100,59,2
10057188,Near South,39.94565,-82.98558,Entire home/apt,400,123,30
10383297,Far East,40.00027,-82.78248,Private room,38,336,1
11044568,Hilltop,39.95091,-83.079,Entire home/apt,165,337,2
11047105,Near East,39.96938,-82.97235,Entire home/apt,99,55,2
11142752,Northland,40.09852,-82.96423,Private room,50,0,1
11147821,Near South,39.944390000000006,-82.98586999999999,Entire home/apt,155,0,2
11533820,Near North/University,39.98598,-83.01118000000001,Entire home/apt,115,0,1
11572549,Northland,40.10028,-82.96453000000001,Private room,45,0,1
11673338,West Scioto,39.987109999999994,-83.06753,Private room,60,330,1
11921949,West Olentangy,40.02452,-83.03390999999999,Private room,38,93,30
11970251,Near North/University,39.98343,-83.00455,Private room,46,0,1
12143810,Northwest,40.05428,-83.04824,Private room,40,54,30
12182010,Near South,39.94298,-82.99072,Entire home/apt,220,229,2
12185273,Clintonville,40.04923,-83.02529,Entire home/apt,150,0,1
12402287,Near North/University,39.984809999999996,-83.00869,Private room,150,0,1
12631194,Near North/University,39.98829,-83.0022,Entire home/apt,135,360,1
12684949,Rocky Fork-Blacklick,40.07825,-82.86543,Private room,45,269,1
12737365,Hayden Run,40.0599,-83.11814,Private room,42,169,1
12751583,Near East,39.96356,-82.97595,Entire home/apt,250,4,1
12755075,Near South,39.929959999999994,-82.99157,Entire home/apt,84,0,2
12807651,Near North/University,40.018879999999996,-83.00052,Entire home/apt,60,237,5
12933962,Near North/University,39.98302,-83.0143,Entire home/apt,129,0,2
13045810,Northland,40.100559999999994,-82.9729,Private room,44,269,1
13089173,Near East,39.96864,-82.96408000000001,Private room,25,88,5
13095135,Clintonville,40.02819,-83.02247,Entire home/apt,76,54,1
13112313,Northland,40.07823,-82.95589,Private room,40,0,1
13116142,Near North/University,39.98446,-82.99833000000001,Entire home/apt,120,0,2
13138571,Northland,40.078140000000005,-82.95584000000001,Private room,46,162,1
13222574,West Olentangy,40.05258,-83.04828,Private room,40,0,1
13223833,Far West,40.00983,-83.14662,Private room,29,348,3
13293966,Near North/University,39.98301,-83.01357,Private room,56,0,5
13410261,Near North/University,40.010670000000005,-82.99698000000001,Private room,45,357,1
13446477,Near North/University,40.00843,-82.99905,Private room,33,365,1
13478417,Near East,39.96767,-82.96461,Private room,27,145,5
13559973,West Olentangy,40.0341,-83.03782,Private room,40,0,1
13635802,Near North/University,39.98271,-83.01474,Entire home/apt,85,0,1
13672030,West Olentangy,40.04,-83.03186,Entire home/apt,96,61,2
13742680,Near North/University,40.0112,-82.99816,Private room,30,233,1
13761608,Northland,40.102990000000005,-82.97988000000001,Private room,35,63,2
13994248,Clintonville,40.020509999999994,-82.99811,Entire home/apt,195,347,2
13996414,South Linden,40.00606,-82.97296,Entire home/apt,70,0,1
14042295,Near North/University,39.98474,-83.00262,Entire home/apt,85,165,1
14150707,Clintonville,40.0352,-83.02346,Private room,55,0,2
14245905,Near East,39.97132,-82.95033000000001,Entire home/apt,150,1,29
14356430,Near East,39.976259999999996,-82.94794,Private room,49,48,3
14570060,Franklinton,39.96094,-83.04108000000001,Entire home/apt,90,0,4
14573940,Near North/University,40.00482,-82.99799999999999,Private room,75,339,30
14595365,Near North/University,40.00482,-82.99799999999999,Private room,75,334,30
14637285,Near North/University,40.00843,-82.99905,Private room,28,362,1
14637360,Near North/University,40.00843,-82.99905,Private room,39,363,1
