id,neighbourhood,latitude,longitude,room_type,price,availability_365,minimum_nights
6860,Ward E (councilmember James Solomon),40.72613,-74.04811,Entire home/apt,163,269,28
40669,Ward C (councilmember Richard Boggiano),40.73742,-74.05255,Private room,82,363,3
52696,Ward C (councilmember Richard Boggiano),40.725429999999996,-74.06369000000001,Entire home/apt,90,355,3
58350,Ward E (councilmember James Solomon),40.72119,-74.04085,Entire home/apt,395,363,15
63282,Ward B (councilmember Mira Prinz-Arey),40.72813,-74.07037,Entire home/apt,2000,365,150
72548,Ward F (councilmember Jermaine D. Robinson),40.71386,-74.06325,Entire home/apt,90,0,7
81066,Ward B (councilmember Mira Prinz-Arey),40.71055,-74.08521999999999,Private room,189,152,1
146144,Ward E (councilmember James Solomon),40.710770000000004,-74.03833,Shared room,200,365,2
215768,Ward F (councilmember Jermaine D. Robinson),40.71663,-74.05799,Entire home/apt,100,358,6
254245,Ward F (councilmember Jermaine D. Robinson),40.710190000000004,-74.06026,Entire home/apt,100,353,6
269266,Ward F (councilmember Jermaine D. Robinson),40.71266,-74.06329000000001,Entire home/apt,80,331,2
270245,Ward F (councilmember Jermaine D. Robinson),40.71203,-74.06532,Private room,35,283,3
271255,Ward F (councilmember Jermaine D. Robinson),40.712579999999996,-74.06284000000001,Private room,55,354,2
419426,Ward E (councilmember James Solomon),40.72072,-74.04637,Private room,75,89,7
508581,Ward E (councilmember James Solomon),40.71979,-74.04549,Entire home/apt,135,365,8
526615,Ward A (councilmember Denise Ridley),40.70552,-74.0969,Entire home/apt,69,364,29
535764,Ward E (councilmember James Solomon),40.7268,-74.04791,Entire home/apt,77,0,31
565677,Ward E (councilmember James Solomon),40.72137,-74.04642,Private room,49,247,2
675483,Ward E (councilmember James Solomon),40.72268,-74.04251,Private room,85,0,3
702975,Ward E (councilmember James Solomon),40.726690000000005,-74.04805,Private room,45,0,5
818075,Ward C (councilmember Richard Boggiano),40.738890000000005,-74.05091,Entire home/apt,65,328,3
819782,Ward D (councilmember Michael Yun),40.74791,-74.042,Private room,100,365,1
829089,Ward E (councilmember James Solomon),40.71839,-74.04522,Entire home/apt,90,85,5
916524,Ward E (councilmember James Solomon),40.7145,-74.03560999999999,Entire home/apt,178,357,2
946048,Ward E (councilmember James Solomon),40.72319,-74.04842,Entire home/apt,55,0,15
949440,Ward C (councilmember Richard Boggiano),40.72717,-74.06368,Entire home/apt,75,325,28
965750,Ward E (councilmember James Solomon),40.7362,-74.03975,Private room,80,45,4
971427,Ward E (councilmember James Solomon),40.71839,-74.04522,Entire home/apt,60,132,5
991435,Ward E (councilmember James Solomon),40.71373,-74.0363,Entire home/apt,185,171,2
999808,Ward F (councilmember Jermaine D. Robinson),40.71714,-74.0491,Private room,90,115,3
1014258,Ward C (councilmember Richard Boggiano),40.73765,-74.04952,Entire home/apt,100,364,60
1167962,Ward E (councilmember James Solomon),40.71771,-74.03924,Entire home/apt,169,365,2
1189921,Ward F (councilmember Jermaine D. Robinson),40.71,-74.05906999999999,Entire home/apt,200,365,6
1194973,Ward E (councilmember James Solomon),40.71396,-74.03678000000001,Entire home/apt,189,365,2
1222901,Ward E (councilmember James Solomon),40.71591,-74.0364,Entire home/apt,179,365,1
1232190,Ward E (councilmember James Solomon),40.717420000000004,-74.03994,Entire home/apt,179,365,1
1269802,Ward B (councilmember Mira Prinz-Arey),40.723690000000005,-74.07131,Private room,120,363,2
1276863,Ward E (councilmember James Solomon),40.71355,-74.03374000000001,Entire home/apt,125,359,6
1280528,Ward F (councilmember Jermaine D. Robinson),40.71225,-74.06496,Private room,50,365,2
1317848,Ward F (councilmember Jermaine D. Robinson),40.71228,-74.07474,Private room,35,236,1
1355054,Ward F (councilmember Jermaine D. Robinson),40.71198,-74.05905,Private room,150,364,4
1560203,Ward F (councilmember Jermaine D. Robinson),40.72061,-74.05058000000001,Entire home/apt,130,268,4
1583556,Ward B (councilmember Mira Prinz-Arey),40.72096,-74.07383,Entire home/apt,89,61,30
1660696,Ward F (councilmember Jermaine D. Robinson),40.71063,-74.07004,Entire home/apt,130,177,28
1689068,Ward D (councilmember Michael Yun),40.74235,-74.04666,Entire home/apt,180,180,21
1746649,Ward C (councilmember Richard Boggiano),40.738440000000004,-74.04956999999999,Private room,38,273,1
1751505,Ward A (councilmember Denise Ridley),40.69279,-74.08859,Private room,90,364,90
1764036,Ward F (councilmember Jermaine D. Robinson),40.71156,-74.07323000000001,Private room,30,236,2
1767237,Ward E (councilmember James Solomon),40.71578,-74.03588,Entire home/apt,300,173,3
1768211,Ward E (councilmember James Solomon),40.7147,-74.03586999999999,Entire home/apt,375,175,3
1771644,Ward E (councilmember James Solomon),40.7195,-74.04363000000001,Entire home/apt,245,174,3
1772623,Ward E (councilmember James Solomon),40.712379999999996,-74.03373,Entire home/apt,300,40,14
1776610,Ward E (councilmember James Solomon),40.71933,-74.03059,Entire home/apt,300,174,3
1777052,Ward E (councilmember James Solomon),40.71933,-74.03059,Entire home/apt,345,174,3
1879541,Ward E (councilmember James Solomon),40.7158,-74.04391,Entire home/apt,125,92,3
1897139,Ward E (councilmember James Solomon),40.72426,-74.03671,Entire home/apt,209,211,21
1897262,Ward E (councilmember James Solomon),40.72426,-74.03671,Entire home/apt,251,212,21
1911702,Ward A (councilmember Denise Ridley),40.7034,-74.09718000000001,Entire home/apt,65,364,29
2000730,Ward E (councilmember James Solomon),40.71577,-74.03558000000001,Entire home/apt,179,365,2
2032676,Ward E (councilmember James Solomon),40.71373,-74.0345,Entire home/apt,275,212,14
2062476,Ward F (councilmember Jermaine D. Robinson),40.70946,-74.07432,Private room,16,160,1
2086222,Ward B (councilmember Mira Prinz-Arey),40.72929,-74.07324,Entire home/apt,140,0,2
2104579,Ward C (councilmember Richard Boggiano),40.737320000000004,-74.04903,Private room,55,364,1
2147906,Ward C (councilmember Richard Boggiano),40.73987,-74.05443000000001,Entire home/apt,125,346,2
2149271,Ward E (councilmember James Solomon),40.72612,-74.04989,Entire home/apt,114,365,9
2151024,Ward C (councilmember Richard Boggiano),40.74013,-74.04638,Entire home/apt,300,357,2
2176306,Ward B (councilmember Mira Prinz-Arey),40.71987,-74.07382,Entire home/apt,129,365,3
2227861,Ward E (councilmember James Solomon),40.72509,-74.04261,Private room,85,89,1
2243687,Ward E (councilmember James Solomon),40.72365,-74.03602,Entire home/apt,233,212,21
2243736,Ward E (councilmember James Solomon),40.72426,-74.03671,Entire home/apt,332,212,21
2284989,Ward F (councilmember Jermaine D. Robinson),40.71962,-74.0737,Private room,150,365,2
2291394,Ward F (councilmember Jermaine D. Robinson),40.7168,-74.07616,Entire home/apt,110,21,2
2326052,Ward F (councilmember Jermaine D. Robinson),40.71202,-74.05754,Private room,69,95,7
2520640,Ward E (councilmember James Solomon),40.7149,-74.03435,Entire home/apt,195,318,28
2647208,Ward E (councilmember James Solomon),40.71857,-74.04516,Entire home/apt,95,27,1
2662979,Ward E (councilmember James Solomon),40.72419,-74.05001999999999,Private room,60,336,2
2663502,Ward E (councilmember James Solomon),40.7243,-74.05055,Private room,60,365,2
2866703,Ward E (councilmember James Solomon),40.71617,-74.03506999999999,Entire home/apt,180,119,4
2879634,Ward F (councilmember Jermaine D. Robinson),40.711259999999996,-74.06053,Entire home/apt,90,357,3
2896978,Ward E (councilmember James Solomon),40.72413,-74.04725,Entire home/apt,115,174,5
2934128,Ward E (councilmember James Solomon),40.71382,-74.03654,Entire home/apt,185,365,2
2979158,Ward C (councilmember Richard Boggiano),40.726279999999996,-74.06352,Private room,70,363,4
2986503,Ward E (councilmember James Solomon),40.723279999999995,-74.04555,Entire home/apt,585,0,3
3069320,Ward E (councilmember James Solomon),40.7131,-74.03475999999999,Entire home/apt,170,365,7
3123383,Ward E (councilmember James Solomon),40.723729999999996,-74.04035999999999,Entire home/apt,150,361,3
3132012,Ward D (councilmember Michael Yun),40.75022,-74.03889000000001,Entire home/apt,300,342,4
3173286,Ward C (councilmember Richard Boggiano),40.73291,-74.06744,Private room,65,0,3
3415871,Ward B (councilmember Mira Prinz-Arey),40.72787,-74.07708000000001,Entire home/apt,195,359,3
3487433,Ward E (councilmember James Solomon),40.717209999999994,-74.03863,Entire home/apt,299,364,28
3510814,Ward E (councilmember James Solomon),40.713440000000006,-74.0359,Entire home/apt,99,365,28
3585177,Ward E (councilmember James Solomon),40.72704,-74.04634,Entire home/apt,245,264,28
3591109,Ward E (councilmember James Solomon),40.71686,-74.04258,Private room,95,0,1
3599479,Ward E (councilmember James Solomon),40.71759,-74.04458000000001,Private room,58,89,1
3614886,Ward A (councilmember Denise Ridley),40.70353,-74.09604,Entire home/apt,45,364,29
3615936,Ward E (councilmember James Solomon),40.723729999999996,-74.04994,Entire home/apt,56,172,2
3623729,Ward E (councilmember James Solomon),40.73615,-74.04061999999999,Private room,75,66,4
3655301,Ward F (councilmember Jermaine D. Robinson),40.71869,-74.0675,Entire home/apt,89,292,7
3674016,Ward E (councilmember James Solomon),40.72764,-74.04105,Entire home/apt,125,363,6
3747069,Ward C (councilmember Richard Boggiano),40.73297,-74.06844,Entire home/apt,89,363,29
3768316,Ward B (councilmember Mira Prinz-Arey),40.72817,-74.07184000000001,Entire home/apt,60,0,1
3867097,Ward E (councilmember James Solomon),40.72254,-74.03685,Entire home/apt,208,180,2
3867660,Ward E (councilmember James Solomon),40.72254,-74.03685,Entire home/apt,263,143,2
4007369,Ward B (councilmember Mira Prinz-Arey),40.71626,-74.08065,Entire home/apt,100,0,3
4024613,Ward D (councilmember Michael Yun),40.745470000000005,-74.04239,Entire home/apt,95,147,5
4039058,Ward E (councilmember James Solomon),40.7228,-74.0368,Private room,194,212,21
4198514,Ward D (councilmember Michael Yun),40.75558,-74.04381,Entire home/apt,275,83,30
4309770,Ward A (councilmember Denise Ridley),40.70445,-74.09651,Entire home/apt,40,364,29
4356384,Ward E (councilmember James Solomon),40.719590000000004,-74.04056,Entire home/apt,109,0,20
4368694,Ward E (councilmember James Solomon),40.72385,-74.0452,Entire home/apt,125,143,6
4384868,Ward E (councilmember James Solomon),40.72461,-74.03798,Entire home/apt,139,365,21
4518114,Ward E (councilmember James Solomon),40.72435,-74.05066,Entire home/apt,99,358,30
4530860,Ward A (councilmember Denise Ridley),40.691559999999996,-74.08962,Entire home/apt,90,85,90
4531787,Ward E (councilmember James Solomon),40.72502,-74.04845999999999,Entire home/apt,76,363,60
4533527,Ward F (councilmember Jermaine D. Robinson),40.71095,-74.05962,Entire home/apt,245,49,4
4536278,Ward A (councilmember Denise Ridley),40.69135,-74.08955999999999,Entire home/apt,95,364,90
4582869,Ward E (councilmember James Solomon),40.72376,-74.0445,Entire home/apt,140,284,2
4601778,Ward E (councilmember James Solomon),40.722359999999995,-74.04682,Private room,75,89,10
4612761,Ward E (councilmember James Solomon),40.72254,-74.03685,Entire home/apt,263,243,21
4616257,Ward E (councilmember James Solomon),40.717209999999994,-74.03938000000001,Entire home/apt,100,0,3
4634568,Ward C (councilmember Richard Boggiano),40.73788,-74.04977,Private room,45,365,1
4649473,Ward E (councilmember James Solomon),40.71758,-74.04652,Entire home/apt,109,115,2
4654169,Ward B (councilmember Mira Prinz-Arey),40.71656,-74.07836999999999,Entire home/apt,105,0,3
4743300,Ward E (councilmember James Solomon),40.7273,-74.03103,Private room,299,296,23
4762870,Ward E (councilmember James Solomon),40.72299,-74.05083,Private room,33,90,2
4881278,Ward E (councilmember James Solomon),40.735170000000004,-74.04387,Entire home/apt,499,76,2
5029654,Ward E (councilmember James Solomon),40.726079999999996,-74.03061,Private room,299,365,23
5106486,Ward D (councilmember Michael Yun),40.74796,-74.04303,Entire home/apt,160,174,2
5192752,Ward E (councilmember James Solomon),40.722840000000005,-74.03679,Entire home/apt,203,199,21
