id,neighbourhood,latitude,longitude,room_type,price,availability_365,minimum_nights
109,Culver City,33.98209,-118.38493999999999,Entire home/apt,115,163,30
344,Burbank,34.165620000000004,-118.33458,Entire home/apt,176,0,2
2708,Hollywood,34.09768,-118.34602,Private room,74,338,30
2732,Santa Monica,34.00475,-118.48127,Private room,155,360,1
2864,Bellflower,33.87619,-118.11397,Entire home/apt,50,0,30
5728,Del Rey,33.9875,-118.432,Private room,55,282,30
5729,Del Rey,33.9875,-118.432,Private room,70,282,30
5843,Del Rey,33.9875,-118.432,Entire home/apt,130,97,30
6931,Hollywood,34.095209999999994,-118.34801000000002,Private room,79,280,30
7874,Bellflower,33.8761,-118.11509,Private room,45,160,1
7992,Atwater Village,34.115429999999996,-118.2609,Entire home/apt,72,180,3
8770,Venice,33.993990000000004,-118.45636999999999,Entire home/apt,122,162,3
9140,Long Beach,33.772059999999996,-118.18893,Private room,80,0,2
9376,Venice,33.99638,-118.47733999999998,Private room,85,365,30
9545,Redondo Beach,33.838229999999996,-118.38569,Private room,50,253,1
10760,Mid-Wilshire,34.05437,-118.35641000000001,Private room,74,87,30
11374,Gardena,33.90348,-118.29269,Private room,81,365,1
11511,Hollywood Hills,34.11479,-118.32288999999999,Entire home/apt,195,250,30
11877,Venice,33.99753,-118.47226,Entire home/apt,73,8,30
12320,Mid-Wilshire,34.058640000000004,-118.34352,Entire home/apt,155,0,31
13776,Redondo Beach,33.83847,-118.38521999999999,Entire home/apt,175,334,2
14098,Hollywood Hills,34.11959,-118.32056000000001,Entire home/apt,291,69,4
14124,Redondo Beach,33.83984,-118.3871,Entire home/apt,175,350,2
14337,Torrance,33.84042,-118.32061999999999,Private room,95,365,2
15089,Mid-City,34.04244,-118.3522,Entire home/apt,123,298,3
15333,Valley Village,34.16701,-118.41118,Private room,438,327,2
18041,Venice,33.99179,-118.45056000000001,Entire home/apt,282,0,2
18067,Venice,33.99065,-118.44962,Entire home/apt,214,0,2
19887,Silver Lake,34.08521,-118.28338000000001,Private room,75,365,30
20585,Venice,33.98065,-118.46518999999999,Entire home/apt,124,92,3
20786,Hollywood Hills,34.11939,-118.32043999999999,Entire home/apt,199,48,5
22355,Hollywood Hills,34.11821,-118.32178,Entire home/apt,165,81,5
23363,Silver Lake,34.103120000000004,-118.25778000000001,Entire home/apt,105,11,3
23710,Highland Park,34.12003,-118.19038,Entire home/apt,118,74,1
23925,Venice,34.00416,-118.46602,Entire home/apt,297,145,3
23979,Hollywood Hills,34.11861,-118.32019,Entire home/apt,178,77,7
24030,Venice,33.98798,-118.47301000000002,Entire home/apt,130,1,30
24041,Redondo Beach,33.831790000000005,-118.38328,Entire home/apt,145,205,4
24349,Mount Washington,34.1078,-118.21864,Entire home/apt,285,178,30
24626,Sawtelle,34.04123,-118.45496999999999,Entire home/apt,450,365,3
