id,neighbourhood,latitude,longitude,room_type,price,availability_365,minimum_nights
6422,District 6,36.17315,-86.73581,Private room,40,230,1
20847,District 7,36.1964,-86.70427,Private room,65,116,60
25341,District 7,36.19705,-86.70494000000001,Private room,65,0,60
25342,District 7,36.19712,-86.70445,Private room,65,0,30
25613,District 6,36.178259999999995,-86.74162,Private room,75,235,2
37306,District 17,36.133109999999995,-86.77476999999999,Private room,132,89,2
39870,District 18,36.12523,-86.81278,Private room,60,147,1
65448,District 19,36.16539,-86.77589,Entire home/apt,141,342,2
136015,District 15,36.19464,-86.67195,Entire home/apt,103,242,30
258817,District 12,36.162490000000005,-86.58988000000001,Private room,28,334,30
289242,District 12,36.16102,-86.59206999999999,Private room,26,352,30
319705,District 12,36.16296,-86.59187,Private room,31,303,30
329997,District 19,36.1758,-86.7995,Entire home/apt,74,152,2
340081,District 12,36.16128,-86.58986,Private room,26,365,30
395889,District 6,36.16492,-86.7501,Private room,73,325,1
421290,District 19,36.1723,-86.7925,Entire home/apt,95,0,2
430052,District 19,36.1723,-86.7925,Entire home/apt,77,70,2
513664,District 14,36.15478,-86.64912,Private room,90,303,2
609655,District 7,36.21608,-86.70866,Entire home/apt,88,276,30
632636,District 19,36.1723,-86.7925,Entire home/apt,131,79,2
645985,District 6,36.18565,-86.71511,Private room,29,269,30
648088,District 19,36.1447,-86.79014000000001,Private room,88,350,2
674159,District 6,36.17242,-86.73742,Entire home/apt,118,344,2
681880,District 7,36.21628,-86.70935,Entire home/apt,89,19,2
686218,District 17,36.13998,-86.76632,Entire home/apt,163,96,2
980344,District 24,36.144,-86.82826999999999,Private room,250,85,2
1006989,District 6,36.175090000000004,-86.73581,Entire home/apt,66,138,2
1009550,District 7,36.21235,-86.70461,Entire home/apt,105,0,5
1039298,District 7,36.2249,-86.72295,Entire home/apt,105,25,2
1065775,District 15,36.18058,-86.68721,Entire home/apt,100,0,30
1130166,District 17,36.122,-86.78844000000001,Entire home/apt,86,321,2
1209395,District 19,36.14883,-86.79629,Entire home/apt,86,355,3
1300670,District 10,36.32114,-86.72644,Entire home/apt,135,343,2
1300996,District 6,36.1696,-86.7251,Entire home/apt,75,353,1
1376970,District 7,36.18945,-86.72531,Entire home/apt,89,288,30
1399012,District 18,36.13367,-86.79588000000001,Entire home/apt,123,0,1
1428018,District 6,36.175740000000005,-86.72014,Private room,95,364,1
1468175,District 19,36.14901,-86.78818000000001,Private room,82,0,14
1469884,District 17,36.14584,-86.78634,Private room,72,0,1
1537921,District 6,36.16794,-86.73759,Entire home/apt,96,341,2
1546787,District 18,36.12903,-86.79335999999999,Entire home/apt,167,98,2
1550764,District 19,36.172309999999996,-86.79252,Entire home/apt,72,77,1
1557535,District 7,36.22637,-86.70969000000001,Entire home/apt,667,338,3
1583339,District 6,36.178329999999995,-86.74426,Entire home/apt,357,336,2
1583557,District 6,36.178329999999995,-86.74426,Entire home/apt,150,192,1
1584280,District 6,36.17649,-86.74237,Entire home/apt,90,340,2
1587240,District 6,36.17868,-86.74394000000001,Private room,70,198,2
1640655,District 17,36.1254,-86.77825,Private room,90,242,4
1648311,District 19,36.15489,-86.77541,Entire home/apt,150,0,1
1661560,District 6,36.17622,-86.73512,Entire home/apt,136,148,1
1709396,District 25,36.10774,-86.77698000000001,Entire home/apt,417,365,2
1714215,District 12,36.18743,-86.59163000000001,Private room,29,275,31
1786497,District 7,36.19506,-86.71568,Entire home/apt,85,180,30
1793477,District 7,36.1978,-86.70568,Entire home/apt,150,349,2
1840652,District 21,36.17642,-86.80901999999999,Entire home/apt,157,353,2
1844680,District 7,36.216609999999996,-86.7255,Private room,59,4,1
1857152,District 4,36.017509999999994,-86.71503,Private room,57,223,2
1906253,District 19,36.16332,-86.77712,Entire home/apt,185,314,2
1951714,District 19,36.14721,-86.78759000000001,Shared room,500,90,1
1954040,District 7,36.20443,-86.72778000000001,Private room,68,310,1
2010018,District 7,36.20714,-86.73115,Entire home/apt,716,58,2
2022417,District 7,36.21606,-86.72368,Entire home/apt,156,180,2
2071080,District 19,36.14717,-86.78754,Shared room,104,0,1
2071488,District 16,36.11255,-86.73517,Private room,23,57,30
2082627,District 19,36.16441,-86.77655,Entire home/apt,166,274,2
2083878,District 19,36.17074,-86.79057,Entire home/apt,117,68,1
2138177,District 6,36.16137,-86.75327,Entire home/apt,140,308,2
2140341,District 19,36.16428,-86.77704,Entire home/apt,199,71,1
2170733,District 6,36.18854,-86.74452,Entire home/apt,193,6,2
