id,neighbourhood,latitude,longitude,room_type,price,availability_365,minimum_nights
2595,Midtown,40.75362,-73.98376999999999,Entire home/apt,175,365,3
3831,Clinton Hill,40.685140000000004,-73.95976,Entire home/apt,76,272,1
5121,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,365,29
5136,Sunset Park,40.6612,-73.99423,Entire home/apt,175,352,7
5178,Hell's Kitchen,40.76489,-73.98493,Private room,79,346,2
5203,Upper West Side,40.80178,-73.96723,Private room,75,0,2
5238,Chinatown,40.713440000000006,-73.99037,Entire home/apt,140,288,1
5552,West Village,40.73552,-74.01042,Entire home/apt,160,96,3
5803,South Slope,40.66829,-73.98779,Private room,86,365,4
6021,Upper West Side,40.79826,-73.96113000000001,Private room,85,365,2
6848,Williamsburg,40.70837,-73.95352,Entire home/apt,109,0,2
6990,East Harlem,40.78962,-73.94802,Entire home/apt,239,365,4
7097,Fort Greene,40.69121,-73.97277,Entire home/apt,182,348,2
7750,East Harlem,40.79685,-73.94872,Private room,96,178,14
7801,Williamsburg,40.71842,-73.95718000000001,Entire home/apt,299,359,3
8490,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,331,2
8505,Windsor Terrace,40.65599,-73.97519,Private room,135,89,1
8700,Inwood,40.867540000000005,-73.92639,Private room,86,0,4
9657,East Village,40.7292,-73.98541999999999,Entire home/apt,175,90,3
9704,Harlem,40.81305,-73.95466,Private room,55,354,2
10452,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,365,3
10962,South Slope,40.668690000000005,-73.9878,Private room,86,365,4
11943,Flatbush,40.63702,-73.96327,Private room,150,365,1
12048,Lower East Side,40.714009999999995,-73.98917,Shared room,40,249,1
12192,East Village,40.7229,-73.98199,Private room,40,46,2
12343,Harlem,40.81175,-73.94478000000001,Entire home/apt,150,364,7
12627,Prospect-Lefferts Gardens,40.659440000000004,-73.96238000000001,Entire home/apt,95,140,30
12937,Long Island City,40.74771,-73.9474,Private room,130,246,2
12940,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,100,18,5
13050,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,120,160,3
13121,Jamaica,40.671170000000004,-73.76576,Private room,75,365,2
13267,Williamsburg,40.71751,-73.96285999999999,Entire home/apt,245,365,180
13394,Fort Greene,40.69142,-73.97376,Private room,80,193,1
13677,Chelsea,40.74395,-73.99450999999999,Private room,150,365,2
13808,Bedford-Stuyvesant,40.680640000000004,-73.94039000000001,Private room,81,348,2
14290,Williamsburg,40.7042,-73.9356,Entire home/apt,153,171,3
14314,Greenpoint,40.73506,-73.95392,Entire home/apt,150,0,2
14322,Kips Bay,40.73961,-73.98074,Entire home/apt,200,358,7
14991,Lower East Side,40.720040000000004,-73.99104,Private room,110,365,5
15220,Hell's Kitchen,40.755309999999994,-73.99293,Private room,83,365,2
15341,Nolita,40.722970000000004,-73.99684,Entire home/apt,150,90,7
15385,Williamsburg,40.71185,-73.96204,Private room,90,262,7
15396,Chelsea,40.74623,-73.9953,Entire home/apt,375,145,14
15711,Upper East Side,40.77065,-73.95269,Entire home/apt,180,352,29
15962,East Village,40.7236,-73.98465999999999,Entire home/apt,130,88,3
16326,Prospect Heights,40.67811,-73.96428,Entire home/apt,100,342,30
16338,Clinton Hill,40.69,-73.96788000000001,Private room,55,287,7
16458,Park Slope,40.673429999999996,-73.98338000000001,Entire home/apt,250,0,3
16580,East Village,40.726490000000005,-73.97904,Private room,65,165,2
16595,Williamsburg,40.70933,-73.96791999999999,Entire home/apt,199,363,1
16821,East Village,40.72298,-73.98474,Private room,79,365,1
16974,East Harlem,40.80164,-73.93921999999999,Entire home/apt,325,218,4
17037,East Village,40.72162,-73.98008,Entire home/apt,250,177,5
17092,Hell's Kitchen,40.76342,-73.98865,Private room,55,218,20
17693,Washington Heights,40.83139,-73.94095,Private room,65,365,2
17747,Clinton Hill,40.68346,-73.96374,Private room,75,364,2
18127,East Village,40.72828,-73.98801,Entire home/apt,176,356,5
18195,Woodside,40.7459,-73.90764,Private room,90,354,7
18198,Woodside,40.75038,-73.90334,Private room,75,12,14
18728,Chelsea,40.74138,-74.00197,Private room,150,329,4
18764,Williamsburg,40.71154,-73.96112,Private room,145,365,3
18961,Kips Bay,40.73808,-73.98001,Private room,95,365,30
19159,Harlem,40.82915,-73.95136,Entire home/apt,110,130,31
19169,Lower East Side,40.718509999999995,-73.98892,Entire home/apt,350,358,33
19282,Flatbush,40.65401,-73.96323000000001,Entire home/apt,130,269,6
19601,Brooklyn Heights,40.69723,-73.99268000000001,Entire home/apt,2000,157,1
19812,Williamsburg,40.71833,-73.95748,Entire home/apt,105,357,3
20300,East Village,40.72912,-73.98057,Private room,50,0,1
20611,Williamsburg,40.71156,-73.96218,Private room,85,365,3
20717,Prospect Heights,40.67832,-73.97243,Private room,85,335,1
20724,Bushwick,40.70032,-73.9383,Private room,50,335,5
20755,Clinton Hill,40.68634,-73.96600000000001,Private room,98,362,7
20913,Williamsburg,40.70984,-73.95775,Entire home/apt,80,0,5
21456,Upper West Side,40.79764,-73.96177,Entire home/apt,99,291,30
21644,Harlem,40.82803,-73.94731,Private room,99,365,1
21794,Chelsea,40.74008,-74.00271,Private room,85,364,7
23135,Carroll Gardens,40.67967,-74.00154,Entire home/apt,128,365,2
23545,Harlem,40.82748,-73.95069000000001,Entire home/apt,200,0,30
23686,West Village,40.730959999999996,-74.00319,Entire home/apt,419,264,5
24143,Williamsburg,40.71332,-73.94176999999999,Private room,122,67,3
24285,Park Slope,40.66941,-73.98109000000001,Entire home/apt,220,344,30
25235,Bedford-Stuyvesant,40.68373,-73.92376999999999,Entire home/apt,110,286,5
25406,Williamsburg,40.71459,-73.94844,Entire home/apt,83,0,30
25696,Harlem,40.8104,-73.94309,Private room,82,364,1
26012,Gowanus,40.68157,-73.98989,Entire home/apt,200,73,30
26362,Hell's Kitchen,40.75527,-73.99291,Private room,69,300,2
26520,Clinton Hill,40.68698,-73.96571999999999,Private room,98,287,2
