id,neighbourhood,latitude,longitude,room_type,price,availability_365,minimum_nights
958,Western Addition,37.76931,-122.43386000000001,Entire home/apt,136,220,2
5858,Bernal Heights,37.74511,-122.42102,Entire home/apt,235,365,30
7918,Haight Ashbury,37.76555,-122.45213000000001,Private room,56,365,32
8142,Haight Ashbury,37.76555,-122.45213000000001,Private room,56,365,32
8339,Western Addition,37.77525,-122.43637,Entire home/apt,756,365,5
8739,Mission,37.7603,-122.42197,Private room,169,179,1
10251,Mission,37.758309999999994,-122.41386000000001,Entire home/apt,200,365,30
10578,Nob Hill,37.79143,-122.41543999999999,Entire home/apt,120,364,30
10820,Haight Ashbury,37.77187,-122.43858999999999,Entire home/apt,170,46,30
10824,Western Addition,37.77355,-122.42436000000001,Entire home/apt,166,365,30
10832,Downtown/Civic Center,37.785740000000004,-122.40798000000001,Entire home/apt,121,365,30
12041,Haight Ashbury,37.769009999999994,-122.44701,Private room,65,365,32
12042,Haight Ashbury,37.76932,-122.44723,Private room,65,365,32
12522,Castro/Upper Market,37.76075,-122.43032,Private room,79,0,3
12584,Inner Sunset,37.762029999999996,-122.45455,Entire home/apt,117,361,30
18231,Noe Valley,37.74888,-122.42981999999999,Entire home/apt,98,310,30
18904,Western Addition,37.77252,-122.43216000000001,Private room,130,89,2
21334,Nob Hill,37.7958,-122.41533000000001,Entire home/apt,130,342,30
21914,Haight Ashbury,37.76555,-122.45213000000001,Private room,56,365,32
23630,Castro/Upper Market,37.75963,-122.44143000000001,Entire home/apt,155,257,3
24463,Potrero Hill,37.75645,-122.3991,Private room,163,178,2
24685,Haight Ashbury,37.77162,-122.43836,Private room,79,311,1
25094,Noe Valley,37.74188,-122.43122,Private room,170,250,5
25463,Western Addition,37.77729,-122.43421000000001,Private room,129,0,2
25662,Potrero Hill,37.76212,-122.39541000000001,Private room,132,365,4
26408,Western Addition,37.77478,-122.4315,Entire home/apt,480,3,3
27025,Castro/Upper Market,37.76298,-122.43136000000001,Entire home/apt,157,129,30
27028,Mission,37.76005,-122.42208000000001,Private room,195,0,1
29373,Bernal Heights,37.73729,-122.41163,Entire home/apt,171,99,4
29557,Outer Richmond,37.779309999999995,-122.50518000000001,Entire home/apt,175,321,2
32414,Bernal Heights,37.74025,-122.41259,Entire home/apt,150,301,30
33578,Potrero Hill,37.764509999999994,-122.39643000000001,Entire home/apt,240,342,1
39174,Noe Valley,37.7483,-122.42488,Entire home/apt,107,365,30
39418,Bernal Heights,37.74093,-122.42055,Entire home/apt,73,365,60
40092,Mission,37.76016,-122.41968999999999,Entire home/apt,107,9,30
