neighbourhood,price
Rolling Hills,2667.6
Bel-Air,2609.46
Malibu,1638.75
Beverly Crest,1249.1
Hollywood Hills West,900.54
Beverly Hills,846.39
Westlake Village,740.15
Unincorporated Santa Monica Mountains,705.91
Florence-Firestone,639.22
Avalon,504.27
Southeast Antelope Valley,499.85
Encino,490.25
Pacific Palisades,411.2
Rancho Palos Verdes,376.46
Manhattan Beach,370.82
Brentwood,363.8
Commerce,352.25
Universal City,334.67
Topanga,329.35
Hollywood Hills,302.59
Lake Hughes,300.0
Hermosa Beach,299.81
Palos Verdes Estates,297.15
Beverly Grove,288.11
Studio City,288.04
