neighbourhood,price
78732,94
78732,155
78732,197
78732,266
78732,624
78732,47
78732,385
78732,491
78732,837
78732,1250
78732,1500
78732,254
78732,1500
78732,885
78732,1120
78732,120
78732,116
78732,1250
78732,125
78732,45
78732,282
78732,757
78732,399
78732,285
78732,873
78732,664
78732,70
78732,78
78732,441
78732,245
78732,885
78732,900
78732,73
78732,100
78732,4652
78732,995
78732,814
78732,185
78732,435
78732,4445
78732,304
78732,2334
78732,4445
78732,450
78732,50
78732,250
78732,1536
78732,3500
78732,39
78732,200
78732,4046
78732,4046
78732,4342
78732,4342
78732,5000
78732,112
78732,135
78733,232
78733,75
78733,68
78733,240
78733,185
78733,119
78733,175
78733,196
78733,164
78733,89
78733,105
78733,116
78733,80
78733,66
78733,75
78733,198
78733,53
78733,108
78733,3155
78733,549
78733,298
78733,300
78733,53
78733,718
78733,833
78733,499
78733,70
78733,71
78733,196
78733,1112
78733,45
78733,199
78733,2500
78733,301
78733,262
78733,262
78733,359
78733,262
78733,262
78733,359
78733,327
78733,219
78733,90
78733,125
78733,1750
78733,2067
78733,2170
78733,2170
78733,5479
78733,359
78733,2688
78733,2179
78733,11373
78733,4652
78733,2170
78733,4644
78733,125
78733,2170
78733,497
78733,452
78733,231
78733,129
78733,66
78733,169
78733,960
78733,744
78733,28
78733,3418
78733,563
78733,1087
78733,61
78733,950
78746,800
78746,495
78746,400
78746,225
78746,329
78746,2000
78746,1000
78746,900
78746,350
78746,346
78746,695
78746,1650
78746,1086
78746,528
78746,102
78746,1200
78746,895
78746,1500
78746,2500
78746,875
78746,95
78746,95
78746,91
78746,350
78746,250
78746,250
78746,250
78746,400
78746,400
78746,1000
78746,1286
78746,240
78746,95
78746,90
78746,255
78746,129
78746,550
78746,450
78746,250
78746,125
78746,300
78746,250
78746,126
78746,300
78746,140
78746,169
78746,64
78746,500
78746,495
78746,55
78746,600
78746,380
78746,199
78746,1000
78746,215
78746,300
78746,209
78746,700
78746,645
78746,115
78746,122
78746,636
78746,799
78746,250
78746,1850
78746,83
78746,299
78746,83
78746,1000
78746,636
78746,500
78746,80
78746,1000
78746,1495
78746,399
78746,250
78746,1500
78746,329
78746,85
78746,95
78746,2643
78746,495
78746,151
78746,131
78746,5000
78746,476
78746,104
78746,699
78746,344
78746,200
78746,46
78746,375
78746,350
