neighbourhood,price
Fenway,265
Fenway,169
Fenway,175
Fenway,229
Fenway,185
Fenway,169
Fenway,250
Fenway,211
Fenway,62
Fenway,139
Fenway,899
Fenway,229
Fenway,899
Fenway,899
Fenway,899
Fenway,135
Fenway,198
Fenway,849
Fenway,849
Fenway,849
Fenway,899
Fenway,899
Fenway,899
Fenway,899
Fenway,899
Fenway,899
Fenway,899
Fenway,899
Fenway,199
Fenway,899
Fenway,110
Fenway,90
Fenway,147
Fenway,130
Fenway,192
Fenway,849
Fenway,95
Fenway,130
Fenway,298
Fenway,849
Fenway,899
Fenway,750
Fenway,235
Fenway,375
Fenway,137
Fenway,52
Fenway,100
Fenway,210
Fenway,175
Fenway,65
Fenway,135
Fenway,134
Fenway,135
Fenway,175
Fenway,130
Fenway,65
Fenway,130
Fenway,130
Fenway,60
Fenway,210
Fenway,210
Fenway,210
Fenway,192
Fenway,162
Fenway,250
Fenway,185
Fenway,82
Fenway,150
Fenway,175
Fenway,265
Fenway,243
Fenway,130
Fenway,515
Fenway,83
Fenway,130
Fenway,169
Fenway,849
Fenway,849
Fenway,849
Fenway,899
Fenway,899
Fenway,686
Fenway,686
Fenway,200
Fenway,686
Fenway,150
Fenway,230
Fenway,98
Fenway,856
Fenway,882
Fenway,274
Fenway,462
Fenway,247
Fenway,21
Fenway,151
Fenway,85
Fenway,265
Fenway,175
Fenway,83
Fenway,83
Fenway,201
Fenway,171
Fenway,83
Fenway,514
Fenway,239
Fenway,133
Fenway,299
Fenway,154
Fenway,95
Fenway,393
Fenway,120
Fenway,144
Fenway,1000
Fenway,180
Fenway,236
Fenway,134
Fenway,219
Fenway,450
Fenway,35
Fenway,0
Fenway,329
Fenway,580
Fenway,620
Fenway,50
Fenway,150
Fenway,181
Fenway,139
Fenway,139
Fenway,136
Fenway,165
Fenway,139
Fenway,188
Fenway,155
Fenway,359
Fenway,135
Fenway,169
Fenway,135
West End,384
West End,60
West End,270
West End,210
West End,210
West End,456
West End,175
West End,210
West End,494
West End,125
West End,889
West End,889
West End,829
West End,100
West End,246
West End,269
West End,195
West End,335
West End,321
West End,198
West End,165
West End,269
West End,340
West End,299
West End,489
West End,243
West End,507
West End,152
West End,193
West End,120
West End,117
West End,157
West End,222
Downtown,85
Downtown,85
Downtown,332
Downtown,257
Downtown,70
Downtown,76
Downtown,300
Downtown,90
Downtown,97
Downtown,63
Downtown,350
Downtown,100
Downtown,129
Downtown,120
Downtown,118
Downtown,140
Downtown,70
Downtown,116
Downtown,225
Downtown,99
Downtown,514
Downtown,514
Downtown,514
Downtown,106
Downtown,333
Downtown,250
Downtown,257
Downtown,210
Downtown,125
Downtown,255
Downtown,156
Downtown,147
Downtown,150
Downtown,174
Downtown,130
Downtown,174
Downtown,250
Downtown,136
Downtown,150
Downtown,238
Downtown,164
Downtown,129
Downtown,168
Downtown,178
Downtown,158
Downtown,158
Downtown,129
Downtown,158
Downtown,129
Downtown,167
Downtown,136
Downtown,129
Downtown,150
Downtown,158
Downtown,73
Downtown,359
Downtown,158
Downtown,210
Downtown,110
Downtown,799
Downtown,169
Downtown,355
Downtown,321
Downtown,320
Downtown,226
Downtown,325
Downtown,233
Downtown,360
Downtown,325
Downtown,199
Downtown,226
Downtown,198
Downtown,234
Downtown,50
Downtown,129
Downtown,358
Downtown,391
Downtown,210
Downtown,50
Downtown,222
Downtown,225
Downtown,339
Downtown,295
Downtown,686
Downtown,225
Downtown,89
Downtown,65
Downtown,275
Downtown,211
Downtown,162
Downtown,315
Downtown,130
Downtown,170
Downtown,235
Downtown,228
Downtown,239
Downtown,152
Downtown,142
Downtown,138
Downtown,149
Downtown,138
Downtown,118
Downtown,132
Downtown,118
Downtown,132
Downtown,118
Downtown,138
Downtown,118
Downtown,138
Downtown,169
Downtown,138
Downtown,152
Downtown,142
Downtown,138
Downtown,142
Downtown,142
Downtown,153
Downtown,153
Downtown,118
Downtown,217
Downtown,123
Downtown,123
Downtown,118
Downtown,118
Downtown,118
Downtown,118
Downtown,289
Downtown,323
Downtown,971
Downtown,167
Downtown,269
Downtown,791
Downtown,172
Downtown,101
Downtown,89
Downtown,175
Downtown,163
Downtown,169
Downtown,161
Downtown,102
Downtown,180
Downtown,210
Downtown,131
Downtown,200
Downtown,138
Downtown,199
Downtown,500
Downtown,663
Downtown,368
Downtown,400
Downtown,389
Downtown,352
Downtown,129
Downtown,300
Downtown,300
Downtown,139
Downtown,186
Downtown,174
Downtown,250
Downtown,157
Downtown,176
Downtown,176
Downtown,248
Downtown,373
Downtown,374
Downtown,321
Downtown,328
Downtown,355
Downtown,164
Downtown,206
Downtown,202
Downtown,392
Downtown,142
Downtown,176
Downtown,143
Downtown,600
Downtown,123
Downtown,143
Downtown,132
Downtown,92
Downtown,138
Downtown,75
Downtown,125
Downtown,350
Downtown,360
Downtown,9999
Downtown,213
Downtown,167
Downtown,229
Downtown,350
Downtown,135
Downtown,157
Downtown,220
Downtown,119
Downtown,268
Downtown,157
Downtown,123
Downtown,159
Downtown,123
Downtown,223
Downtown,156
Downtown,147
Downtown,250
Downtown,156
Downtown,156
Downtown,146
Downtown,148
Downtown,153
Downtown,164
Downtown,127
Downtown,183
Downtown,127
Downtown,152
Downtown,206
Downtown,139
Downtown,120
Downtown,132
Downtown,246
Downtown,242
Downtown,250
Downtown,146
Downtown,144
Downtown,162
Downtown,165
Downtown,159
Downtown,123
Downtown,110
Downtown,187
Downtown,254
Downtown,143
Downtown,186
Downtown,201
Downtown,185
Downtown,165
Downtown,145
Downtown,165
Downtown,247
Downtown,244
Downtown,228
Downtown,129
Downtown,129
Downtown,132
Downtown,228
Downtown,148
Downtown,248
Downtown,145
Downtown,228
Downtown,228
Downtown,144
Downtown,148
Downtown,145
Downtown,293
Downtown,248
Downtown,144
Downtown,144
Downtown,144
Downtown,148
Downtown,145
Downtown,140
Downtown,144
Downtown,139
Downtown,144
Downtown,144
Downtown,362
Downtown,276
Downtown,286
Downtown,233
Downtown,470
Downtown,117
Downtown,183
Downtown,208
Downtown,132
Downtown,252
Downtown,2200
Downtown,132
Downtown,198
Downtown,262
Downtown,194
Downtown,228
Downtown,98
Downtown,98
Downtown,133
Downtown,98
Downtown,159
Downtown,186
Downtown,173
Downtown,129
Downtown,284
Downtown,125
Downtown,185
Downtown,216
Downtown,212
Downtown,201
Downtown,236
Downtown,273
Downtown,206
Downtown,155
Downtown,134
Downtown,134
Downtown,180
Downtown,152
Downtown,150
South Boston Waterfront,113
South Boston Waterfront,149
South Boston Waterfront,175
South Boston Waterfront,118
South Boston Waterfront,335
South Boston Waterfront,179
South Boston Waterfront,275
South Boston Waterfront,70
South Boston Waterfront,208
South Boston Waterfront,218
South Boston Waterfront,299
South Boston Waterfront,217
South Boston Waterfront,151
South Boston Waterfront,131
South Boston Waterfront,205
South Boston Waterfront,170
South Boston Waterfront,116
South Boston Waterfront,119
South Boston Waterfront,166
South Boston Waterfront,160
South Boston Waterfront,223
South Boston Waterfront,175
South Boston Waterfront,189
South Boston Waterfront,90
South Boston Waterfront,180
South Boston Waterfront,178
South Boston Waterfront,444
South Boston Waterfront,447
South Boston Waterfront,366
South Boston Waterfront,259
South Boston Waterfront,837
South Boston Waterfront,368
South Boston Waterfront,272
South Boston Waterfront,447
South Boston Waterfront,837
South Boston Waterfront,137
South Boston Waterfront,134
South Boston Waterfront,175
South Boston Waterfront,259
South Boston Waterfront,166
South Boston Waterfront,175
South Boston Waterfront,211
South Boston Waterfront,175
South Boston Waterfront,256
South Boston Waterfront,304
South Boston Waterfront,278
South Boston Waterfront,168
South Boston Waterfront,133
Charlestown,226
Charlestown,125
Charlestown,140
Charlestown,119
Charlestown,228
Charlestown,175
Charlestown,180
Charlestown,182
Charlestown,49
Charlestown,109
Charlestown,350
Charlestown,149
Charlestown,250
Charlestown,210
Charlestown,349
Charlestown,200
Charlestown,200
Charlestown,150
