neighbourhood,price
East Cambridge,140
East Cambridge,140
East Cambridge,272
East Cambridge,259
East Cambridge,265
East Cambridge,160
East Cambridge,272
East Cambridge,337
East Cambridge,278
East Cambridge,337
East Cambridge,220
East Cambridge,220
East Cambridge,129
East Cambridge,60
East Cambridge,199
East Cambridge,189
East Cambridge,278
East Cambridge,259
East Cambridge,179
East Cambridge,140
East Cambridge,249
East Cambridge,209
East Cambridge,95
East Cambridge,109
East Cambridge,199
East Cambridge,199
East Cambridge,189
East Cambridge,299
East Cambridge,229
East Cambridge,179
East Cambridge,249
East Cambridge,249
East Cambridge,125
East Cambridge,90
East Cambridge,99
East Cambridge,200
East Cambridge,219
East Cambridge,165
East Cambridge,117
East Cambridge,219
East Cambridge,88
East Cambridge,158
East Cambridge,75
East Cambridge,571
East Cambridge,571
East Cambridge,571
East Cambridge,299
East Cambridge,299
East Cambridge,140
East Cambridge,200
East Cambridge,140
East Cambridge,194
East Cambridge,90
East Cambridge,66
East Cambridge,258
East Cambridge,134
East Cambridge,419
East Cambridge,65
East Cambridge,183
East Cambridge,260
East Cambridge,135
East Cambridge,145
East Cambridge,170
East Cambridge,206
East Cambridge,70
East Cambridge,272
East Cambridge,278
East Cambridge,278
East Cambridge,249
East Cambridge,135
East Cambridge,249
East Cambridge,399
East Cambridge,289
East Cambridge,289
East Cambridge,269
East Cambridge,269
East Cambridge,399
East Cambridge,290
East Cambridge,288
East Cambridge,292
East Cambridge,292
East Cambridge,265
East Cambridge,318
East Cambridge,297
East Cambridge,220
East Cambridge,58
East Cambridge,149
East Cambridge,199
East Cambridge,220
East Cambridge,175
East Cambridge,179
East Cambridge,180
East Cambridge,60
East Cambridge,132
East Cambridge,175
East Cambridge,192
East Cambridge,325
East Cambridge,179
East Cambridge,500
East Cambridge,500
East Cambridge,500
East Cambridge,114
East Cambridge,95
East Cambridge,110
East Cambridge,350
East Cambridge,200
East Cambridge,180
East Cambridge,42
East Cambridge,180
East Cambridge,100
East Cambridge,188
East Cambridge,176
East Cambridge,119
East Cambridge,190
East Cambridge,78
East Cambridge,120
East Cambridge,155
East Cambridge,149
East Cambridge,300
East Cambridge,250
East Cambridge,370
East Cambridge,450
East Cambridge,370
East Cambridge,299
Cambridge Highlands,250
Cambridge Highlands,94
Cambridge Highlands,475
Cambridge Highlands,100
Cambridge Highlands,117
Agassiz,110
Agassiz,70
Agassiz,125
Agassiz,160
Agassiz,279
Agassiz,145
Agassiz,274
Agassiz,275
Agassiz,499
Agassiz,149
Agassiz,190
Agassiz,99
Agassiz,83
Agassiz,75
Agassiz,145
Agassiz,110
Agassiz,299
Agassiz,72
Agassiz,1375
Agassiz,119
Agassiz,160
Agassiz,119
Agassiz,100
Agassiz,168
Agassiz,264
Agassiz,189
Agassiz,90
Agassiz,126
Agassiz,133
Agassiz,56
Agassiz,89
Agassiz,45
Agassiz,149
Agassiz,110
Agassiz,155
Agassiz,164
Agassiz,164
Agassiz,75
Agassiz,125
Mid-Cambridge,225
Mid-Cambridge,180
Mid-Cambridge,100
Mid-Cambridge,125
Mid-Cambridge,135
Mid-Cambridge,140
Mid-Cambridge,170
Mid-Cambridge,90
Mid-Cambridge,330
Mid-Cambridge,110
Mid-Cambridge,95
Mid-Cambridge,329
Mid-Cambridge,429
Mid-Cambridge,250
Mid-Cambridge,80
Mid-Cambridge,99
Mid-Cambridge,145
Mid-Cambridge,108
Mid-Cambridge,135
Mid-Cambridge,299
Mid-Cambridge,100
Mid-Cambridge,225
Mid-Cambridge,150
Mid-Cambridge,88
Mid-Cambridge,85
Mid-Cambridge,84
Mid-Cambridge,120
Mid-Cambridge,120
Mid-Cambridge,125
Mid-Cambridge,200
Mid-Cambridge,155
Mid-Cambridge,115
Mid-Cambridge,175
Mid-Cambridge,109
Mid-Cambridge,150
Mid-Cambridge,85
Mid-Cambridge,120
Mid-Cambridge,154
Mid-Cambridge,299
Mid-Cambridge,200
Mid-Cambridge,110
Mid-Cambridge,299
Mid-Cambridge,299
Mid-Cambridge,225
Mid-Cambridge,48
Mid-Cambridge,390
Mid-Cambridge,240
Mid-Cambridge,130
Mid-Cambridge,115
Mid-Cambridge,70
Mid-Cambridge,150
Mid-Cambridge,110
Mid-Cambridge,115
Mid-Cambridge,129
Mid-Cambridge,110
Mid-Cambridge,85
Mid-Cambridge,130
Mid-Cambridge,75
Mid-Cambridge,179
Mid-Cambridge,89
Mid-Cambridge,120
Mid-Cambridge,100
Mid-Cambridge,395
Mid-Cambridge,120
Mid-Cambridge,255
Mid-Cambridge,190
Mid-Cambridge,190
Mid-Cambridge,395
Mid-Cambridge,120
Mid-Cambridge,100
Mid-Cambridge,120
Mid-Cambridge,203
Mid-Cambridge,115
Mid-Cambridge,125
Mid-Cambridge,99
Mid-Cambridge,75
Mid-Cambridge,299
Mid-Cambridge,509
Mid-Cambridge,369
Mid-Cambridge,120
Mid-Cambridge,240
Mid-Cambridge,325
Mid-Cambridge,109
Mid-Cambridge,225
Mid-Cambridge,78
Mid-Cambridge,125
Mid-Cambridge,225
Mid-Cambridge,201
Mid-Cambridge,80
Mid-Cambridge,79
Mid-Cambridge,75
Mid-Cambridge,215
Mid-Cambridge,89
Mid-Cambridge,99
Mid-Cambridge,89
Mid-Cambridge,99
Mid-Cambridge,95
Mid-Cambridge,199
Mid-Cambridge,100
Mid-Cambridge,119
Mid-Cambridge,195
Mid-Cambridge,47
Mid-Cambridge,750
Mid-Cambridge,120
Mid-Cambridge,85
Mid-Cambridge,49
Mid-Cambridge,70
Mid-Cambridge,43
Mid-Cambridge,120
Mid-Cambridge,50
Mid-Cambridge,69
Mid-Cambridge,60
Mid-Cambridge,50
Mid-Cambridge,35
Mid-Cambridge,40
Mid-Cambridge,71
Mid-Cambridge,358
Mid-Cambridge,230
Mid-Cambridge,46
Mid-Cambridge,650
Mid-Cambridge,200
Mid-Cambridge,120
Mid-Cambridge,173
Mid-Cambridge,120
Mid-Cambridge,149
Mid-Cambridge,950
Mid-Cambridge,80
Mid-Cambridge,150
Mid-Cambridge,180
Mid-Cambridge,55
Mid-Cambridge,138
Mid-Cambridge,370
Mid-Cambridge,110
Mid-Cambridge,160
Mid-Cambridge,55
Mid-Cambridge,140
Mid-Cambridge,70
Mid-Cambridge,130
Mid-Cambridge,149
Mid-Cambridge,158
Mid-Cambridge,157
Mid-Cambridge,133
Mid-Cambridge,99
Mid-Cambridge,120
Mid-Cambridge,99
Mid-Cambridge,2500
Mid-Cambridge,107
Mid-Cambridge,149
Mid-Cambridge,42
Mid-Cambridge,98
Mid-Cambridge,65
Mid-Cambridge,149
Mid-Cambridge,275
Strawberry Hill,160
