neighbourhood,price
Loop,130
Loop,60
Loop,229
Loop,120
Loop,220
Loop,150
Loop,104
Loop,200
Loop,175
Loop,175
Loop,129
Loop,231
Loop,71
Loop,304
Loop,120
Loop,120
Loop,150
Loop,155
Loop,125
Loop,200
Loop,140
Loop,150
Loop,155
Loop,162
Loop,200
Loop,151
Loop,86
Loop,79
Loop,92
Loop,220
Loop,100
Loop,84
Loop,210
Loop,210
Loop,80
Loop,125
Loop,55
Loop,117
Loop,89
Loop,299
Loop,350
Loop,215
Loop,155
Loop,357
Loop,149
Loop,463
Loop,159
Loop,159
Loop,80
Loop,70
Loop,300
Loop,60
Loop,80
Loop,85
Loop,250
Loop,80
Loop,200
Loop,157
Loop,125
Loop,105
Loop,225
Loop,500
Loop,95
Loop,125
Loop,400
Loop,215
Loop,98
Loop,139
Loop,132
Loop,159
Loop,60
Loop,132
Loop,132
Loop,195
Loop,173
Loop,280
Loop,162
Loop,190
Loop,179
Loop,165
Loop,349
Loop,280
Loop,85
Loop,80
Loop,400
Loop,125
Loop,121
Loop,70
Loop,299
Loop,199
Loop,103
Loop,94
Loop,97
Loop,155
Loop,234
Loop,165
Loop,124
Loop,110
Loop,115
Loop,116
Loop,146
Loop,238
Loop,155
Loop,400
Loop,238
Loop,155
Loop,179
Loop,400
Loop,400
Loop,400
Loop,400
Loop,400
Loop,222
Loop,112
Loop,152
Loop,196
Loop,199
Loop,249
Loop,400
Loop,229
Loop,300
Loop,124
Loop,119
Loop,109
Loop,109
Loop,109
Loop,129
Loop,129
Loop,129
Loop,169
Loop,169
Loop,189
Loop,149
Loop,50
Loop,104
Loop,114
Loop,114
Loop,119
Loop,9999
Loop,9999
Loop,9999
Loop,276
Loop,400
Loop,139
Loop,400
Loop,299
Loop,227
Loop,134
Loop,210
Loop,310
Loop,234
Loop,177
Loop,256
Loop,525
Loop,425
Loop,149
Loop,400
Loop,131
Loop,400
Loop,400
Loop,104
Loop,246
Loop,140
Loop,100
Loop,185
Loop,213
Loop,150
Loop,400
Loop,400
Loop,112
Loop,299
Loop,150
Loop,130
Loop,131
Loop,162
Loop,248
Loop,159
Loop,187
Loop,172
Loop,158
Loop,166
Loop,70
Loop,70
Loop,164
Loop,116
Loop,130
Loop,118
Loop,129
Loop,115
Loop,125
Loop,125
Loop,89
Loop,133
Loop,70
Loop,79
Loop,79
Loop,70
Loop,400
Loop,166
Loop,400
Loop,95
Loop,693
Loop,141
Loop,127
Loop,104
Loop,130
Loop,70
Loop,112
Loop,139
Loop,116
Loop,125
Loop,80
Loop,141
Loop,215
Loop,124
Loop,116
Loop,70
Loop,408
Loop,45
Loop,100
Loop,155
Loop,200
Loop,137
Loop,112
Loop,103
Loop,332
Loop,80
Loop,98
Loop,156
Loop,125
Loop,130
Loop,93
Loop,400
Loop,500
Loop,299
Loop,80
Loop,116
Loop,212
Loop,120
Loop,250
Loop,120
Loop,120
Loop,103
Loop,103
Loop,125
Loop,129
Loop,103
Loop,155
Loop,650
Loop,166
Loop,192
Loop,103
Loop,112
Loop,171
Loop,112
Loop,313
Loop,313
Loop,108
Loop,149
Loop,313
Loop,313
Loop,116
Loop,103
Loop,214
Loop,112
Loop,177
Loop,120
Loop,113
Loop,65
Loop,155
Loop,120
Loop,112
Loop,117
Loop,85
Loop,83
Loop,140
Loop,129
Loop,120
Loop,112
Loop,103
Loop,93
Loop,125
Loop,135
Loop,103
Loop,120
Loop,164
Loop,229
Loop,192
Loop,105
Loop,130
Loop,164
Loop,80
Loop,80
Loop,200
Loop,191
Loop,141
Loop,123
Loop,109
Loop,123
Loop,123
Loop,131
Loop,220
Loop,112
Loop,103
Loop,129
Loop,395
Loop,449
Loop,177
Loop,116
Loop,125
Loop,166
Loop,144
Loop,132
Loop,145
Loop,267
Loop,124
Loop,144
Loop,350
Loop,150
Loop,175
Loop,174
Loop,117
Loop,95
Loop,125
Loop,146
Loop,200
Loop,146
Loop,146
Loop,85
Loop,277
Loop,305
Loop,534
Loop,115
Loop,97
Loop,80
Loop,80
Loop,70
Loop,70
Loop,146
Loop,149
Loop,213
Loop,166
Loop,182
Loop,80
Loop,70
Loop,80
Loop,108
Loop,116
Loop,257
Loop,170
Loop,89
Loop,98
Loop,108
Loop,113
Loop,160
Loop,173
Loop,103
Loop,125
Loop,173
Loop,150
Loop,173
Loop,103
Loop,120
Loop,89
Loop,191
Loop,165
Loop,150
Loop,60
Loop,150
Loop,250
Loop,192
Loop,102
Lake View,198
Lake View,280
Lake View,128
Lake View,130
Lake View,490
Lake View,180
Lake View,106
Lake View,239
Lake View,79
Lake View,130
Lake View,99
Lake View,70
Lake View,105
Lake View,64
Lake View,75
Lake View,155
Lake View,349
Lake View,249
Lake View,349
Lake View,75
Lake View,108
Lake View,30
Lake View,113
Lake View,289
Lake View,181
Lake View,386
Lake View,70
Lake View,69
Lake View,70
Lake View,650
Lake View,70
Lake View,75
Lake View,375
Lake View,230
Lake View,148
Lake View,101
Lake View,79
Lake View,132
Lake View,144
Lake View,186
Lake View,64
Lake View,75
Lake View,200
Lake View,159
Lake View,105
Lake View,1576
Lake View,1232
Lake View,79
Lake View,122
Lake View,428
Lake View,199
Lake View,139
Lake View,150
Lake View,59
Lake View,425
Lake View,40
Lake View,95
Lake View,264
Lake View,371
Lake View,159
Lake View,471
Lake View,90
Lake View,86
Lake View,65
Lake View,125
Lake View,110
Lake View,299
Lake View,170
Lake View,45
Lake View,90
Lake View,89
Lake View,200
Lake View,119
Lake View,90
Lake View,108
Lake View,249
Lake View,559
Lake View,295
Lake View,69
Lake View,89
Lake View,318
Lake View,280
Lake View,413
Lake View,299
Lake View,179
Lake View,126
Lake View,114
Lake View,125
Lake View,170
Lake View,200
Lake View,30
Lake View,1999
Lake View,143
Lake View,321
Lake View,125
Lake View,70
Lake View,139
Lake View,269
Lake View,269
Lake View,375
Lake View,450
Lake View,53
Lake View,115
Lake View,368
Lake View,159
Lake View,107
Lake View,110
Lake View,125
Lake View,80
Lake View,117
Lake View,249
Lake View,80
Lake View,107
Lake View,200
Lake View,174
Lake View,1400
Lake View,50
Lake View,74
Lake View,110
Lake View,171
Lake View,187
Lake View,454
Lake View,115
Lake View,115
Lake View,152
Lake View,63
Lake View,157
Lake View,89
Lake View,1200
Lake View,350
Lake View,70
Lake View,9999
Lake View,151
Lake View,199
Lake View,450
