neighbourhood,price
Near East,80
Near East,29
Near East,65
Near East,73
Near East,99
Near East,29
Near East,65
Near East,47
Near East,99
Near East,250
Near East,25
Near East,27
Near East,150
Near East,49
Near East,145
Near East,49
Near East,152
Near East,139
Near East,159
Near East,78
Near East,85
Near East,55
Near East,49
Near East,52
Near East,42
Near East,45
Near East,120
Near East,40
Near East,140
Near East,85
Near East,250
Near East,60
Near East,59
Near East,10000
Near East,105
Near East,89
Near East,115
Near East,117
Near East,100
Near East,115
Near East,45
Near East,85
Near East,79
Near East,93
Near East,91
Near East,79
Near East,89
Near East,46
Near East,50
Near East,70
Near East,65
Near East,150
Near East,100
Near East,1250
Near East,68
Near East,99
Near East,10000
Near East,10000
Near East,44
Near East,175
Near East,220
Near East,125
Near East,70
Near East,250
Near East,120
Near East,60
Near East,80
Near East,157
Near East,42
Near East,45
Near East,90
Near East,99
Near East,75
Near East,350
Near East,80
Near East,65
Near East,69
Near East,129
Near East,149
Near East,185
Near East,96
Near East,96
Near East,70
Near East,80
Near East,82
Near East,88
Near East,45
Near East,64
Near East,61
Near East,160
Near East,53
Near East,46
Near East,99
Near East,70
Near East,145
Near East,49
Near East,75
Near East,45
Near East,10000
Near East,10000
Near East,95
Near East,199
Near East,10000
Near East,45
Near East,99
Near East,85
Near East,65
Near East,199
Near East,99
Near East,10000
Near East,175
Near East,115
Near East,56
Near East,53
Near East,157
Near East,114
Near South,199
Near South,235
Near South,49
Near South,49
Near South,112
Near South,250
Near South,20
Near South,95
Near South,220
Near South,400
Near South,155
Near South,220
Near South,84
Near South,235
Near South,79
Near South,95
Near South,119
Near South,79
Near South,69
Near South,70
Near South,125
Near South,60
Near South,95
Near South,89
Near South,95
Near South,150
Near South,150
Near South,32
Near South,10000
Near South,65
Near South,146
Near South,120
Near South,80
Near South,99
Near South,100
Near South,85
Near South,110
Near South,70
Near South,42
Near South,135
Near South,197
Near South,218
Near South,200
Near South,375
Near South,300
Near South,139
Near South,350
Near South,125
Near South,150
Near South,185
Near South,98
Near South,65
Near South,108
Near South,75
Near South,48
Near South,10000
Near South,225
Near South,125
Near South,70
Near South,100
Near South,10000
Near South,125
Near South,29
Near South,10000
Near South,59
Near South,79
Near South,79
Near South,59
Near South,65
Near South,45
Near South,65
Near South,40
Near South,135
Near South,125
Near South,10000
Near South,65
Near South,350
Near South,65
Near South,199
Near South,185
Near South,135
Near South,119
Near South,40
Near South,59
Near South,250
Near South,123
Near South,99
Near South,79
Near South,75
Near South,35
Near South,59
Near South,350
Near South,50
Near South,120
Near South,180
Near South,184
Near South,180
Near South,90
Near South,295
Near South,200
Near South,550
Near South,500
Near South,500
Near South,500
Near South,500
Near South,500
Near South,100
Near South,100
Near South,59
Near South,400
Near South,55
Near South,119
Near South,119
Near South,350
Near South,70
Near South,50
Near South,50
Near South,50
Near South,100
Near South,99
Near South,88
Near South,150
Near South,61
Near South,65
Near South,97
Near South,75
Near South,79
Near South,45
Near South,129
Near South,139
Near South,65
Near South,76
Near South,120
Near South,76
Near South,115
Near South,300
Near South,111
Near South,199
Near South,150
Near South,77
Near South,110
Near South,109
Near South,52
Near South,41
Near South,37
Near South,350
Near South,60
Near South,350
Near South,91
Near South,175
Near South,90
Near South,350
Near South,35
Near South,55
Near South,68
Near South,125
Near South,100
Near South,90
Near South,149
Near South,10000
Near South,75
Near South,79
Near South,79
Near South,99
Near South,79
Near South,79
Near South,129
Near South,129
Near South,110
Near South,100
Near South,99
Near South,89
Near South,120
Near South,300
Near South,100
Near South,81
Near South,108
Near South,150
Near South,65
Near South,1000
Near South,79
Near South,99
Near South,99
Near South,114
Near South,79
Near South,79
Near South,59
Near South,115
Near South,65
Near South,350
Near South,63
Near South,63
Near South,10000
Near South,100
Near South,95
Near South,200
Near South,134
Near South,99
Near South,99
Near South,99
Near South,99
Near South,99
Near South,99
Near South,99
Near South,201
Near South,99
Downtown,100
Downtown,89
Downtown,89
Downtown,89
Downtown,149
Downtown,119
Downtown,125
Downtown,299
Downtown,99
Downtown,75
Downtown,120
Downtown,80
Downtown,165
Downtown,89
Downtown,92
Downtown,165
Downtown,119
Downtown,193
Downtown,220
Downtown,195
Downtown,1177
Downtown,1177
Downtown,1177
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,999
Downtown,119
Downtown,129
Downtown,100
Downtown,119
Downtown,139
Downtown,94
Downtown,85
Downtown,95
Downtown,95
Downtown,95
Downtown,100
Downtown,96
Downtown,90
Downtown,90
Downtown,90
Downtown,90
Downtown,87
Downtown,87
Downtown,119
Downtown,119
Downtown,500
Downtown,87
Downtown,45
Downtown,86
Downtown,119
Downtown,119
Downtown,60
Downtown,295
Downtown,119
Downtown,129
Downtown,124
Downtown,129
Downtown,175
Downtown,179
Downtown,83
Downtown,119
Downtown,65
Downtown,85
Downtown,66
Downtown,150
Downtown,79
Downtown,100
Downtown,80
Downtown,175
Downtown,600
Downtown,119
Downtown,93
Downtown,93
Downtown,93
Downtown,93
Downtown,93
Downtown,108
Downtown,95
Downtown,95
Downtown,95
Downtown,95
Downtown,95
Downtown,95
Downtown,129
Downtown,134
Northland,25
Northland,35
Northland,25
Northland,25
Northland,25
Northland,110
Northland,50
Northland,45
Northland,44
Northland,40
Northland,46
Northland,35
Northland,50
Northland,33
Northland,33
Northland,35
Northland,55
Northland,29
Northland,35
Northland,30
Northland,45
Northland,300
Northland,21
Northland,30
Northland,33
Northland,140
Northland,25
Northland,150
Northland,50
Northland,150
Northland,200
Northland,32
Northland,27
Northland,42
Northland,160
Northland,43
Northland,94
Northland,41
Northland,125
Northland,7000
Northland,7000
Northland,26
Northland,149
Northland,61
Northland,64
Northland,72
Northland,69
Near North/University,198
Near North/University,47
Near North/University,90
Near North/University,30
Near North/University,60
Near North/University,32
Near North/University,52
Near North/University,157
Near North/University,180
Near North/University,140
Near North/University,160
Near North/University,225
Near North/University,325
Near North/University,70
Near North/University,89
Near North/University,140
Near North/University,295
Near North/University,120
Near North/University,87
Near North/University,195
Near North/University,69
Near North/University,23
Near North/University,140
Near North/University,200
Near North/University,85
Near North/University,300
Near North/University,66
Near North/University,1000
Near North/University,59
Near North/University,190
Near North/University,150
Near North/University,100
Near North/University,115
Near North/University,46
Near North/University,150
Near North/University,135
Near North/University,60
Near North/University,129
Near North/University,120
Near North/University,56
Near North/University,45
Near North/University,33
Near North/University,85
Near North/University,30
Near North/University,85
Near North/University,75
Near North/University,75
Near North/University,28
Near North/University,39
Near North/University,60
Near North/University,200
Near North/University,68
Near North/University,90
Near North/University,299
Near North/University,95
Near North/University,90
Near North/University,52
Near North/University,87
Near North/University,60
Near North/University,52
Near North/University,75
Near North/University,125
Near North/University,90
Near North/University,125
Near North/University,64
Near North/University,125
Near North/University,125
Near North/University,56
Near North/University,190
Near North/University,125
Near North/University,350
Near North/University,45
Near North/University,34
Near North/University,125
Near North/University,96
Near North/University,89
Near North/University,82
Near North/University,100
Near North/University,89
Near North/University,130
Near North/University,59
Near North/University,70
Near North/University,113
Near North/University,150
