neighbourhood,price
Hampden South,50
Hampden South,350
Hampden South,49
Hampden South,120
Hampden South,85
Hampden South,75
Hampden South,85
Hampden South,70
Hampden South,10000
Hampden South,45
Hampden South,45
Hampden South,100
Hampden South,95
Hampden South,60
Hampden South,50
Hampden South,100
Hampden South,30
Hampden South,55
Hampden South,100
Hampden South,55
Hampden South,39
Hampden South,60
Hampden South,60
Hampden South,34
Hampden South,29
Hampden South,75
Hampden South,60
Hampden South,65
Hampden South,85
Hampden South,85
Hampden South,60
Hampden South,111
Five Points,179
Five Points,200
Five Points,269
Five Points,199
Five Points,175
Five Points,74
Five Points,114
Five Points,130
Five Points,175
Five Points,150
Five Points,144
Five Points,695
Five Points,150
Five Points,175
Five Points,99
Five Points,135
Five Points,120
Five Points,197
Five Points,263
Five Points,150
Five Points,151
Five Points,150
Five Points,350
Five Points,199
Five Points,190
Five Points,116
Five Points,95
Five Points,107
Five Points,145
Five Points,60
Five Points,150
Five Points,125
Five Points,105
Five Points,120
Five Points,115
Five Points,50
Five Points,45
Five Points,43
Five Points,38
Five Points,50
Five Points,37
Five Points,88
Five Points,250
Five Points,126
Five Points,120
Five Points,99
Five Points,80
Five Points,145
Five Points,76
Five Points,139
Five Points,145
Five Points,93
Five Points,75
Five Points,85
Five Points,159
Five Points,49
Five Points,100
Five Points,250
Five Points,125
Five Points,415
Five Points,100
Five Points,60
Five Points,60
Five Points,350
Five Points,79
Five Points,50
Five Points,120
Five Points,350
Five Points,50
Five Points,200
Five Points,90
Five Points,159
Five Points,325
Five Points,150
Five Points,340
Five Points,60
Five Points,100
Five Points,85
Five Points,345
Five Points,288
Five Points,140
Five Points,1004
Five Points,1004
Five Points,1004
Five Points,1004
Five Points,1004
Five Points,1009
Five Points,1004
Five Points,1004
Five Points,1004
Five Points,1004
Five Points,1004
Five Points,1004
Five Points,1004
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,999
Five Points,150
Five Points,1004
Five Points,1004
Five Points,1009
Five Points,1009
Five Points,1009
Five Points,65
Five Points,79
Five Points,205
Five Points,111
Five Points,999
Five Points,999
Five Points,149
Five Points,197
Five Points,259
Five Points,55
Five Points,89
Five Points,110
Five Points,140
Five Points,155
Five Points,174
Five Points,250
Five Points,140
Five Points,75
Five Points,86
Five Points,200
Five Points,139
Five Points,72
Five Points,40
Five Points,88
Five Points,93
Five Points,80
Five Points,49
Five Points,800
Five Points,46
Five Points,115
Five Points,140
Five Points,150
Five Points,120
Five Points,99
Five Points,278
Five Points,130
Five Points,180
Five Points,95
Five Points,120
