neighbourhood,price
North Hilo,80
North Hilo,195
North Hilo,139
North Hilo,130
North Hilo,79
North Hilo,119
North Hilo,69
North Hilo,149
North Hilo,300
North Hilo,95
North Hilo,310
North Hilo,123
North Hilo,99
North Hilo,105
North Hilo,198
North Hilo,123
North Hilo,135
North Hilo,99
North Hilo,375
North Hilo,2821
North Hilo,49
North Hilo,150
North Hilo,62
North Hilo,45
North Hilo,110
North Hilo,109
North Hilo,75
North Hilo,34
North Hilo,120
North Hilo,77
North Hilo,62
North Hilo,235
North Hilo,100
North Hilo,205
North Hilo,39
North Hilo,70
North Hilo,115
North Hilo,80
North Hilo,95
North Hilo,89
North Hilo,219
North Hilo,148
North Hilo,62
North Hilo,203
North Hilo,175
North Hilo,306
North Hilo,180
North Hilo,100
North Hilo,205
North Hilo,68
North Hilo,205
North Hilo,24999
North Hilo,171
North Hilo,343
Koolaupoko,221
Koolaupoko,296
Koolaupoko,296
Koolaupoko,220
Koolaupoko,225
Koolaupoko,289
Koolaupoko,200
Koolaupoko,144
Koolaupoko,169
Koolaupoko,260
Koolaupoko,400
Koolaupoko,425
Koolaupoko,208
Koolaupoko,100
Koolaupoko,72
Koolaupoko,185
Koolaupoko,170
Koolaupoko,75
Koolaupoko,175
Koolaupoko,350
Koolaupoko,166
Koolaupoko,707
Koolaupoko,80
Koolaupoko,195
Koolaupoko,175
Koolaupoko,324
Koolaupoko,161
Koolaupoko,327
Koolaupoko,150
Koolaupoko,259
Koolaupoko,1399
Koolaupoko,339
Koolaupoko,88
Koolaupoko,130
Koolaupoko,688
Koolaupoko,175
Koolaupoko,2200
Koolaupoko,650
Koolaupoko,213
Koolaupoko,145
Koolaupoko,239
Koolaupoko,485
Koolaupoko,65
Koolaupoko,80
Koolaupoko,150
Koolaupoko,1350
Koolaupoko,190
Koolaupoko,99
Koolaupoko,70
Koolaupoko,210
Koolaupoko,425
Koolaupoko,275
Koolaupoko,597
Koolaupoko,100
Koolaupoko,500
Koolaupoko,650
Koolaupoko,675
Koolaupoko,175
Koolaupoko,950
Koolaupoko,1112
Koolaupoko,650
Koolaupoko,80
Koolaupoko,350
Koolaupoko,149
Koolaupoko,145
Koolaupoko,130
Koolaupoko,400
Koolaupoko,850
Koolaupoko,180
Koolaupoko,170
Koolaupoko,199
Koolaupoko,800
Koolaupoko,110
Koolaupoko,872
Koolaupoko,298
Koolaupoko,45
Koolaupoko,105
Koolaupoko,192
Koolaupoko,208
Koolaupoko,165
Koolaupoko,130
Koolaupoko,125
Koolaupoko,90
Koolaupoko,569
Koolaupoko,684
Koolaupoko,454
Koolaupoko,42
Koolaupoko,198
Koolaupoko,150
Koolaupoko,90
Koolaupoko,90
Koolaupoko,90
Koolaupoko,67
Koolaupoko,150
Koolaupoko,1205
Koolaupoko,60
Koolaupoko,420
Koolaupoko,92
Koolaupoko,118
Koolaupoko,160
Koolaupoko,50
Koolaupoko,100
Koolaupoko,1165
Koolaupoko,570
Koolaupoko,200
Koolaupoko,149
Koolaupoko,150
Koolaupoko,6000
Koolaupoko,73
Koolaupoko,927
Koolaupoko,270
Koolaupoko,191
Koolaupoko,159
Koolaupoko,1092
Koolaupoko,78
Koolaupoko,107
Koolaupoko,88
Koolaupoko,50
Koolaupoko,80
Koolaupoko,160
Koolaupoko,140
Koolaupoko,175
Koolaupoko,410
Koolaupoko,99
Koolaupoko,92
Koolaupoko,155
Koolaupoko,105
Koolaupoko,400
Koolaupoko,160
Koolaupoko,100
Koolaupoko,675
Koolaupoko,288
Koolaupoko,213
Koolaupoko,100
Koolaupoko,150
Koolaupoko,275
Koolaupoko,736
Koolaupoko,475
Koolaupoko,815
Koolaupoko,145
Koolaupoko,115
Koolaupoko,60
Koolaupoko,200
Koolaupoko,300
Koolaupoko,100
Koolaupoko,115
Koolaupoko,390
Koolaupoko,215
Koolaupoko,550
Koolaupoko,210
Koolaupoko,400
Koolaupoko,300
Koolaupoko,249
Koolaupoko,318
Koolaupoko,91
