neighbourhood,price
Ward E (councilmember James Solomon),163
Ward E (councilmember James Solomon),395
Ward E (councilmember James Solomon),200
Ward E (councilmember James Solomon),75
Ward E (councilmember James Solomon),135
Ward E (councilmember James Solomon),77
Ward E (councilmember James Solomon),49
Ward E (councilmember James Solomon),85
Ward E (councilmember James Solomon),45
Ward E (councilmember James Solomon),90
Ward E (councilmember James Solomon),178
Ward E (councilmember James Solomon),55
Ward E (councilmember James Solomon),80
Ward E (councilmember James Solomon),60
Ward E (councilmember James Solomon),185
Ward E (councilmember James Solomon),169
Ward E (councilmember James Solomon),189
Ward E (councilmember James Solomon),179
Ward E (councilmember James Solomon),179
Ward E (councilmember James Solomon),125
Ward E (councilmember James Solomon),300
Ward E (councilmember James Solomon),375
Ward E (councilmember James Solomon),245
Ward E (councilmember James Solomon),300
Ward E (councilmember James Solomon),300
Ward E (councilmember James Solomon),345
Ward E (councilmember James Solomon),125
Ward E (councilmember James Solomon),209
Ward E (councilmember James Solomon),251
Ward E (councilmember James Solomon),179
Ward E (councilmember James Solomon),275
Ward E (councilmember James Solomon),114
Ward E (councilmember James Solomon),85
Ward E (councilmember James Solomon),233
Ward E (councilmember James Solomon),332
Ward E (councilmember James Solomon),195
Ward E (councilmember James Solomon),95
Ward E (councilmember James Solomon),60
Ward E (councilmember James Solomon),60
Ward E (councilmember James Solomon),180
Ward E (councilmember James Solomon),115
Ward E (councilmember James Solomon),185
Ward E (councilmember James Solomon),585
Ward E (councilmember James Solomon),170
Ward E (councilmember James Solomon),150
Ward E (councilmember James Solomon),299
Ward E (councilmember James Solomon),99
Ward E (councilmember James Solomon),245
Ward E (councilmember James Solomon),95
Ward E (councilmember James Solomon),58
Ward E (councilmember James Solomon),56
Ward E (councilmember James Solomon),75
Ward E (councilmember James Solomon),125
Ward E (councilmember James Solomon),208
Ward E (councilmember James Solomon),263
Ward E (councilmember James Solomon),194
Ward E (councilmember James Solomon),109
Ward E (councilmember James Solomon),125
Ward E (councilmember James Solomon),139
Ward E (councilmember James Solomon),99
Ward E (councilmember James Solomon),76
Ward E (councilmember James Solomon),140
Ward E (councilmember James Solomon),75
Ward E (councilmember James Solomon),263
Ward E (councilmember James Solomon),100
Ward E (councilmember James Solomon),109
Ward E (councilmember James Solomon),299
Ward E (councilmember James Solomon),33
Ward E (councilmember James Solomon),499
Ward E (councilmember James Solomon),299
Ward E (councilmember James Solomon),203
Ward E (councilmember James Solomon),203
Ward E (councilmember James Solomon),208
Ward E (councilmember James Solomon),149
Ward E (councilmember James Solomon),209
Ward E (councilmember James Solomon),39
Ward E (councilmember James Solomon),110
Ward E (councilmember James Solomon),79
Ward E (councilmember James Solomon),44
Ward E (councilmember James Solomon),79
Ward E (councilmember James Solomon),44
Ward E (councilmember James Solomon),75
Ward E (councilmember James Solomon),65
Ward E (councilmember James Solomon),350
Ward E (councilmember James Solomon),139
Ward E (councilmember James Solomon),130
Ward E (councilmember James Solomon),499
Ward E (councilmember James Solomon),145
Ward E (councilmember James Solomon),116
Ward E (councilmember James Solomon),149
Ward E (councilmember James Solomon),90
Ward E (councilmember James Solomon),149
Ward E (councilmember James Solomon),143
Ward E (councilmember James Solomon),120
Ward E (councilmember James Solomon),136
Ward E (councilmember James Solomon),250
Ward E (councilmember James Solomon),40
Ward E (councilmember James Solomon),220
Ward E (councilmember James Solomon),189
Ward E (councilmember James Solomon),65
Ward E (councilmember James Solomon),125
Ward E (councilmember James Solomon),63
Ward E (councilmember James Solomon),129
Ward E (councilmember James Solomon),80
Ward E (councilmember James Solomon),110
Ward E (councilmember James Solomon),45
Ward E (councilmember James Solomon),139
Ward E (councilmember James Solomon),125
Ward E (councilmember James Solomon),129
Ward E (councilmember James Solomon),119
Ward E (councilmember James Solomon),119
Ward E (councilmember James Solomon),251
Ward E (councilmember James Solomon),251
Ward E (councilmember James Solomon),109
Ward E (councilmember James Solomon),129
Ward E (councilmember James Solomon),139
Ward E (councilmember James Solomon),139
Ward E (councilmember James Solomon),289
Ward E (councilmember James Solomon),289
Ward E (councilmember James Solomon),219
Ward E (councilmember James Solomon),300
Ward E (councilmember James Solomon),159
Ward E (councilmember James Solomon),130
Ward E (councilmember James Solomon),139
Ward E (councilmember James Solomon),255
Ward E (councilmember James Solomon),80
Ward E (councilmember James Solomon),209
Ward E (councilmember James Solomon),139
Ward E (councilmember James Solomon),169
Ward E (councilmember James Solomon),40
Ward E (councilmember James Solomon),149
