neighbourhood,price
Sea Gate,1661
Sea Gate,223
Sea Gate,71
Sea Gate,97
Sea Gate,1315
Sea Gate,100
Sea Gate,299
Sea Gate,215
Sea Gate,795
Sea Gate,60
Sea Gate,107
Sea Gate,169
Sea Gate,90
Prince's Bay,145
Prince's Bay,650
Flatiron District,219
Flatiron District,160
Flatiron District,350
Flatiron District,265
Flatiron District,180
Flatiron District,350
Flatiron District,1200
Flatiron District,475
Flatiron District,200
Flatiron District,100
Flatiron District,2143
Flatiron District,110
Flatiron District,214
Flatiron District,111
Flatiron District,314
Flatiron District,95
Flatiron District,400
Flatiron District,261
Flatiron District,150
Flatiron District,150
Flatiron District,275
Flatiron District,85
Flatiron District,99
Flatiron District,110
Flatiron District,695
Flatiron District,189
Flatiron District,99
Flatiron District,650
Flatiron District,595
Flatiron District,150
Flatiron District,154
Flatiron District,180
Flatiron District,185
Flatiron District,200
Flatiron District,124
Flatiron District,90
Flatiron District,104
Flatiron District,155
Flatiron District,250
Flatiron District,564
Flatiron District,125
Flatiron District,180
Flatiron District,124
Flatiron District,95
Flatiron District,249
Flatiron District,127
Flatiron District,270
Flatiron District,127
Flatiron District,225
Flatiron District,94
Flatiron District,2500
Flatiron District,495
Flatiron District,220
Flatiron District,300
Flatiron District,140
Flatiron District,359
Flatiron District,1259
Flatiron District,105
Flatiron District,1950
Flatiron District,200
Flatiron District,120
Flatiron District,180
Flatiron District,68
Flatiron District,119
Flatiron District,100
Flatiron District,319
Flatiron District,132
Flatiron District,349
Flatiron District,1600
Flatiron District,1943
Flatiron District,94
Flatiron District,300
Flatiron District,150
Flatiron District,2400
Flatiron District,75
Tribeca,225
Tribeca,240
Tribeca,524
Tribeca,500
Tribeca,229
Tribeca,170
Tribeca,210
Tribeca,259
Tribeca,800
Tribeca,289
Tribeca,180
Tribeca,192
Tribeca,1500
Tribeca,235
Tribeca,70
Tribeca,110
Tribeca,500
Tribeca,450
Tribeca,73
Tribeca,450
Tribeca,200
Tribeca,239
Tribeca,800
Tribeca,2571
Tribeca,300
Tribeca,89
Tribeca,110
Tribeca,120
Tribeca,700
Tribeca,500
Tribeca,104
Tribeca,107
Tribeca,500
Tribeca,235
Tribeca,127
Tribeca,350
Tribeca,80
Tribeca,250
Tribeca,125
Tribeca,250
Tribeca,500
Tribeca,197
Tribeca,139
Tribeca,850
Tribeca,75
Tribeca,264
Tribeca,1250
Tribeca,500
Tribeca,5000
Tribeca,51
Tribeca,2500
Tribeca,52
Tribeca,169
Tribeca,100
Tribeca,250
Tribeca,108
Tribeca,95
Tribeca,100
Tribeca,650
Tribeca,575
Tribeca,440
Tribeca,800
Tribeca,250
Tribeca,96
Tribeca,190
Tribeca,149
Tribeca,162
Tribeca,195
Tribeca,269
Tribeca,195
Tribeca,96
Tribeca,200
Tribeca,800
Tribeca,180
Tribeca,220
Tribeca,349
Tribeca,350
Tribeca,150
Tribeca,332
Tribeca,900
Tribeca,180
Tribeca,110
Tribeca,350
Tribeca,184
Tribeca,90
Tribeca,239
Tribeca,500
Tribeca,225
Tribeca,221
Tribeca,1000
Tribeca,295
Tribeca,200
Tribeca,197
Tribeca,149
Tribeca,278
Tribeca,742
Tribeca,130
Tribeca,100
Tribeca,814
Tribeca,295
Tribeca,70
Tribeca,224
Tribeca,73
Tribeca,229
Tribeca,323
Tribeca,315
Tribeca,383
Tribeca,290
Tribeca,195
Tribeca,264
Tribeca,392
Tribeca,392
Tribeca,199
Tribeca,213
Tribeca,229
Tribeca,296
Tribeca,195
Tribeca,300
Tribeca,365
Tribeca,200
Tribeca,600
Tribeca,348
Tribeca,149
Tribeca,250
Tribeca,159
Tribeca,349
Tribeca,224
Tribeca,464
Tribeca,275
Tribeca,150
Tribeca,190
Tribeca,365
Tribeca,265
Tribeca,285
Tribeca,325
Tribeca,345
Tribeca,285
Tribeca,285
Tribeca,465
Tribeca,525
Tribeca,765
Tribeca,200
Tribeca,6500
Tribeca,179
Tribeca,209
Tribeca,244
Tribeca,379
Tribeca,310
Tribeca,109
Tribeca,104
Tribeca,104
Tribeca,104
Tribeca,120
Tribeca,120
Tribeca,128
Tribeca,128
Tribeca,103
Tribeca,144
Tribeca,136
Tribeca,160
Tribeca,300
Tribeca,185
Tribeca,494
Tribeca,194
Tribeca,600
Tribeca,350
Tribeca,179
Tribeca,240
Tribeca,195
Tribeca,205
Tribeca,246
Tribeca,464
Tribeca,409
Tribeca,264
Tribeca,343
Tribeca,70
Tribeca,293
Tribeca,298
Tribeca,289
Tribeca,500
Tribeca,220
Tribeca,325
Tribeca,650
Tribeca,699
Tribeca,809
Tribeca,150
Tribeca,550
Tribeca,500
Tribeca,95
Tribeca,413
Tribeca,70
Briarwood,75
Briarwood,75
Briarwood,50
Briarwood,36
Briarwood,35
Briarwood,70
Briarwood,75
Briarwood,48
Briarwood,55
Briarwood,120
Briarwood,75
Briarwood,120
Briarwood,80
Briarwood,330
Briarwood,1500
Briarwood,70
Briarwood,120
Briarwood,70
Briarwood,55
Briarwood,9000
Briarwood,70
Briarwood,70
Briarwood,40
Briarwood,20
Briarwood,100
Briarwood,50
Briarwood,150
Briarwood,75
Briarwood,40
Briarwood,85
Briarwood,300
Briarwood,59
Briarwood,72
Briarwood,100
Briarwood,79
