neighbourhood,price
Financial District,185
Financial District,43
Financial District,33
Financial District,110
Financial District,135
Financial District,46
Financial District,46
Financial District,46
Financial District,46
Financial District,500
Financial District,350
Financial District,46
Financial District,46
Financial District,46
Financial District,295
Financial District,76
Financial District,290
Financial District,173
Financial District,145
Financial District,110
Financial District,228
Financial District,1346
Financial District,1252
Financial District,1150
Financial District,300
Financial District,252
Financial District,1346
Financial District,301
Financial District,255
Financial District,100
Financial District,501
Financial District,599
Financial District,46
Financial District,46
Financial District,46
Financial District,46
Financial District,46
Financial District,400
Financial District,250
Financial District,125
Financial District,95
Financial District,125
Financial District,295
Financial District,63
Financial District,40
Financial District,67
Financial District,514
Financial District,210
Financial District,95
Financial District,95
Financial District,125
Financial District,95
Financial District,95
Financial District,95
Financial District,180
Financial District,125
Financial District,529
Financial District,199
Financial District,75
Financial District,140
Financial District,85
Financial District,2000
Financial District,135
Financial District,255
Financial District,300
Financial District,275
Financial District,250
Financial District,198
Financial District,165
Financial District,235
Financial District,245
Financial District,265
Financial District,250
Financial District,195
Financial District,250
Financial District,156
Financial District,90
Financial District,400
Financial District,300
Financial District,99
Financial District,95
Financial District,99
Financial District,400
Financial District,99
Financial District,220
Financial District,99
Financial District,90
Financial District,75
Financial District,75
Financial District,75
Financial District,171
Financial District,75
Financial District,60
Financial District,60
Financial District,388
Financial District,350
Financial District,249
Financial District,9999
Financial District,9999
Financial District,9999
Financial District,220
Financial District,164
Financial District,450
Financial District,150
Financial District,65
Financial District,300
Financial District,150
Financial District,539
Financial District,325
Financial District,9999
Financial District,9999
Financial District,9999
Financial District,9999
Financial District,9999
Financial District,9999
Financial District,9999
Financial District,9999
Financial District,9999
Financial District,9999
Financial District,199
Financial District,199
Financial District,199
Financial District,9990
Financial District,9999
Financial District,9999
Financial District,139
Financial District,159
Financial District,149
Financial District,149
Financial District,179
Financial District,259
Financial District,279
Financial District,222
Financial District,75
Financial District,575
Financial District,225
Financial District,235
Financial District,208
Financial District,315
Financial District,337
Financial District,105
Financial District,325
Financial District,299
Financial District,279
Financial District,165
Financial District,219
Financial District,230
Financial District,242
Financial District,225
Financial District,193
Financial District,242
Financial District,150
Financial District,189
Financial District,159
Financial District,167
Financial District,155
Financial District,291
Financial District,200
Financial District,346
Financial District,212
Financial District,253
Financial District,125
Financial District,113
Financial District,176
Financial District,100
Financial District,99
Financial District,73
Financial District,77
Financial District,100
Financial District,103
Financial District,125
Financial District,75
Financial District,110
Financial District,1999
Financial District,9999
Financial District,246
Financial District,128
Financial District,10000
Financial District,195
Financial District,162
Financial District,199
Financial District,145
Financial District,120
Financial District,125
Financial District,80
Financial District,57
Chinatown,30
Chinatown,30
Chinatown,91
Chinatown,30
Chinatown,30
Chinatown,30
Chinatown,90
Chinatown,30
Chinatown,30
Chinatown,30
Chinatown,30
Chinatown,450
Chinatown,366
Chinatown,110
Chinatown,36
Chinatown,366
Chinatown,249
Chinatown,80
Chinatown,275
Chinatown,195
Chinatown,250
Chinatown,195
Chinatown,149
Chinatown,149
Chinatown,126
Chinatown,123
Chinatown,95
Chinatown,123
Chinatown,800
Chinatown,272
Chinatown,140
Chinatown,195
Chinatown,366
Chinatown,366
Chinatown,366
Chinatown,366
Chinatown,366
Chinatown,366
Chinatown,366
Chinatown,366
Chinatown,90
Chinatown,93
Chinatown,225
Chinatown,265
Chinatown,225
Chinatown,275
Chinatown,129
