date,inventory,ses_inventory,fcst_inventory,price,ses_price,fcst_price
2017-10-28,38027.0,,,225365.0,225755.0,
2017-11-04,37590.0,,,225209.0,225365.0,
2017-11-11,36926.0,,,225804.0,225209.0,
2017-11-18,36131.0,,,226333.0,225804.0,
2017-11-25,35079.0,,,225490.0,226333.0,
2017-12-02,34048.0,,,225728.0,225490.0,
2017-12-09,33005.0,,,226566.0,225728.0,
2017-12-16,31850.0,,,227296.0,226566.0,
2017-12-23,30905.0,,,229108.0,227296.0,
2017-12-30,29617.0,,,230111.0,229108.0,
2018-01-06,28494.0,,,230697.0,230111.0,
2018-01-13,27787.0,,,229915.0,230697.0,
2018-01-20,27321.0,,,229552.0,229915.0,
2018-01-27,27378.0,,,230518.0,229552.0,
2018-02-03,27607.0,,,230649.0,230518.0,
2018-02-10,27864.0,,,232586.0,230649.0,
2018-02-17,28167.0,,,232707.0,232586.0,
2018-02-24,28514.0,,,231619.0,232707.0,
2018-03-03,29194.0,,,230443.0,231619.0,
2018-03-10,29789.0,,,230557.0,230443.0,
2018-03-17,30850.0,,,229641.0,230557.0,
2018-03-24,31718.0,,,230077.0,229641.0,
2018-03-31,32157.0,,,230540.0,230077.0,
2018-04-07,32847.0,,,230136.0,230540.0,
2018-04-14,33140.0,,,230606.0,230136.0,
2018-04-21,33690.0,,,228659.0,230606.0,
2018-04-28,34281.0,,,227644.0,228659.0,
2018-05-05,34797.0,,,228445.0,227644.0,
2018-05-12,35262.0,,,228519.0,228445.0,
2018-05-19,35698.0,,,229652.0,228519.0,
2018-05-26,36157.0,,,231092.0,229652.0,
2018-06-02,36497.0,,,229164.0,231092.0,
2018-06-09,36956.0,,,230052.0,229164.0,
2018-06-16,37467.0,,,232864.0,230052.0,
2018-06-23,38126.0,,,232660.0,232864.0,
2018-06-30,38782.0,,,233774.0,232660.0,
2018-07-07,39053.0,,,232982.0,233774.0,
2018-07-14,39478.0,,,232109.0,232982.0,
