date,inventory,ses_inventory,fcst_inventory,price,ses_price,fcst_price
2017-10-28,21912.0,,,256344.0,255896.0,
2017-11-04,21836.0,,,257251.0,256344.0,
2017-11-11,21550.0,,,256349.0,257251.0,
2017-11-18,21306.0,,,256639.0,256349.0,
2017-11-25,20883.0,,,257782.0,256639.0,
2017-12-02,20400.0,,,258906.0,257782.0,
2017-12-09,19905.0,,,259525.0,258906.0,
2017-12-16,19217.0,,,259974.0,259525.0,
2017-12-23,18693.0,,,259396.0,259974.0,
2017-12-30,17840.0,,,260755.0,259396.0,
2018-01-06,17117.0,,,258994.0,260755.0,
2018-01-13,16694.0,,,259383.0,258994.0,
2018-01-20,16384.0,,,259134.0,259383.0,
2018-01-27,16549.0,,,259796.0,259134.0,
2018-02-03,16862.0,,,262079.0,259796.0,
2018-02-10,17067.0,,,263558.0,262079.0,
2018-02-17,17259.0,,,264521.0,263558.0,
2018-02-24,17344.0,,,261696.0,264521.0,
2018-03-03,17395.0,,,262090.0,261696.0,
2018-03-10,17375.0,,,261533.0,262090.0,
2018-03-17,17772.0,,,262036.0,261533.0,
2018-03-24,18187.0,,,263887.0,262036.0,
2018-03-31,18591.0,,,263924.0,263887.0,
2018-04-07,19488.0,,,265395.0,263924.0,
2018-04-14,19992.0,,,263642.0,265395.0,
2018-04-21,20699.0,,,261841.0,263642.0,
2018-04-28,21458.0,,,262177.0,261841.0,
2018-05-05,21904.0,,,261007.0,262177.0,
2018-05-12,22311.0,,,263385.0,261007.0,
2018-05-19,22657.0,,,265476.0,263385.0,
2018-05-26,22977.0,,,264770.0,265476.0,
2018-06-02,23246.0,,,266474.0,264770.0,
2018-06-09,23629.0,,,266382.0,266474.0,
2018-06-16,24020.0,,,266777.0,266382.0,
2018-06-23,24448.0,,,267434.0,266777.0,
2018-06-30,24954.0,,,265982.0,267434.0,
2018-07-07,25451.0,,,267091.0,265982.0,
2018-07-14,25967.0,,,265732.0,267091.0,
2018-07-21,26424.0,,,266464.0,265732.0,
2018-07-28,26817.0,,,266385.0,266464.0,
2018-08-04,27098.0,,,265243.0,266385.0,
2018-08-11,27166.0,,,264764.0,265243.0,
2018-08-18,27169.0,,,263763.0,264764.0,
2018-08-25,27078.0,,,262805.0,263763.0,
2018-09-01,26952.0,,,262411.0,262805.0,
2018-09-08,26782.0,,,263484.0,262411.0,
2018-09-15,26774.0,,,262024.0,263484.0,
2018-09-22,26682.0,,,263095.0,262024.0,
2018-09-29,26599.0,,,262636.0,263095.0,
2018-10-06,26743.0,,,261382.0,262636.0,
2018-10-13,26675.0,,,261965.0,261382.0,
2018-10-20,26630.0,,,262500.0,261965.0,
2018-10-27,26555.0,,,262015.0,262500.0,
2018-11-03,26346.0,,,262883.0,262015.0,
2018-11-10,26157.0,,,263732.0,262883.0,
2018-11-17,26096.0,,,262941.0,263732.0,
2018-11-24,25821.0,,,262243.0,262941.0,
2018-12-01,25549.0,,,261605.0,262243.0,
2018-12-08,25080.0,,,262865.0,261605.0,
2018-12-15,24457.0,,,261702.0,262865.0,
2018-12-22,23829.0,,,263464.0,261702.0,
2018-12-29,22839.0,,,264440.0,263464.0,
2019-01-05,22001.0,,,265503.0,264440.0,
2019-01-12,21468.0,,,264764.0,265503.0,
2019-01-19,21358.0,,,263817.0,264764.0,
2019-01-26,21526.0,,,260593.0,263817.0,
2019-02-02,22000.0,,,260658.0,260593.0,
